country_code,country_name,year,value,indicator_code,indicator_name,dimension
DE,Germany,2022,3.30663195833333,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
DE,Germany,2021,3.79444375,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
DE,Germany,2020,4.08559041666667,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
IN,India,2023,0.5375,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
IN,India,2022,0.41,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
IN,India,2021,0.75,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
IL,Israel,2023,13.445,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
IL,Israel,2022,13.815001,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
IL,Israel,2021,15.515,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
IL,Israel,2020,12.05394,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
IT,Italy,2023,2.18925442105263,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
IT,Italy,2022,3.91092594444444,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
IT,Italy,2021,5.42986368421053,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
IT,Italy,2020,5.96445157894737,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
JP,Japan,2023,2.62178585714286,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
JP,Japan,2022,2.76095228571429,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
JP,Japan,2021,2.68809428571429,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
JP,Japan,2020,3.27544142857143,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
JO,Jordan,2023,2.265,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
JO,Jordan,2022,2.4475,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
JO,Jordan,2021,2.4125,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
JO,Jordan,2020,4.762425,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
KE,Kenya,2023,5.26083325,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
KE,Kenya,2022,4.01500025,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
KE,Kenya,2021,4.76,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
KE,Kenya,2020,5.6250375,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
KR,"Korea, Rep.",2023,4.1858335,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
KR,"Korea, Rep.",2022,0.4766665,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
KR,"Korea, Rep.",2021,3.5475,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
KR,"Korea, Rep.",2020,3.30558,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
KW,Kuwait,2023,2.41638883333333,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
KW,Kuwait,2022,2.4744445,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
KW,Kuwait,2021,2.48222,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
KW,Kuwait,2020,2.63293,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
MY,Malaysia,2023,2.04777788888889,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
MY,Malaysia,2022,1.48342588888889,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
MY,Malaysia,2021,1.66925888888889,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
MY,Malaysia,2020,1.91406777777778,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
NL,Netherlands,2023,3.03166671428571,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
NL,Netherlands,2022,3.38095242857143,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
NL,Netherlands,2021,3.18333285714286,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
NL,Netherlands,2020,5.23701571428571,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
NZ,New Zealand,2023,3.89635425,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
NZ,New Zealand,2022,3.18625,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
NZ,New Zealand,2021,4.07916625,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
NZ,New Zealand,2020,4.05392625,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
NG,Nigeria,2020,16.0960933333333,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
NO,Norway,2023,1.16,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
NO,Norway,2022,0.8966665,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
NO,Norway,2021,2.703335,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
NO,Norway,2020,2.070335,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
OM,Oman,2023,4.44166666666667,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
OM,Oman,2022,3.92416666666667,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
