spec_id,spec_name,n,n_countries,r2,headline_term,headline_beta,headline_se,headline_ci_low,headline_ci_high,headline_p,post_2022_beta,post_2022_se,post_2022_p,interaction_beta,interaction_se,interaction_ci_low,interaction_ci_high,interaction_p,cluster_count,notes
R_SSA,Regional: SSA,122,24,0.17936677178674143,baseline_x_post_2022,-0.000911657604787922,0.0030086547325551827,-0.006889790472543836,0.005066475262967993,0.7625880685137059,,,,-0.000911657604787922,0.0030086547325551827,-0.006889790472543836,0.005066475262967993,0.7625880685137059,24,D-31 descriptive; spec-3 re-fit on SSA
R_LAC,Regional: LAC,118,20,0.03611640521191828,baseline_x_post_2022,0.001044306892545667,0.0014591988632862785,-0.001855090167147946,0.00394370395223928,0.47606772658593943,,,,0.001044306892545667,0.0014591988632862785,-0.001855090167147946,0.00394370395223928,0.47606772658593943,20,D-31 descriptive; spec-3 re-fit on LAC
R_SA_EAP,Regional: SA_EAP,112,19,0.11993053614250082,baseline_x_post_2022,1.0218004082368866e-06,0.0014150660146196412,-0.002812992155673171,0.002815035756489645,0.9994255703059278,,,,1.0218004082368866e-06,0.0014150660146196412,-0.002812992155673171,0.002815035756489645,0.9994255703059278,19,D-31 descriptive; spec-3 re-fit on SA_EAP
