asset,window,n_obs,beta,se,ci_low,ci_high,r2,dw,p_wald_beta1,p_wald_beta2
USDC,pre,1045,0.9163864287810491,0.054580834757194815,0.8094099584108153,1.0233628991512829,0.6782410633201131,0.022866115029703635,0.1255417305549373,1.0304991842842069e-87
USDC,post,1147,1.0882228481975162,0.020303777854009632,1.0484281748535553,1.1280175215414772,0.9539196348598976,0.30419120913524283,1.3918402565500887e-05,0.0
USDT,pre,1045,1.024856853773047,0.008512654365979954,1.0081723578028885,1.0415413497432053,0.9866149674788174,0.525892378888301,0.003500441813332871,0.0
USDT,post,1147,1.1006796877339708,0.06267929722017976,0.977830522606137,1.2235288528618047,0.754174945259832,0.10800790629026773,0.10821525417183463,1.0971069214279917e-46
