asset,adf_stat_residuals,p_value,n_obs,crit_5pct,cointegrated_at_5pct
USDC,-2.4411172046736507,0.014133187158027532,2169,-1.9411245480725805,True
USDT,-4.82300916821283,2.3291326568446864e-06,2178,-1.9411240304928346,True
