asset,specification,n_obs,alpha,beta,beta_se,beta_ci_low,beta_ci_high,r_squared,hac_maxlags
USDC,levels,2192,1.5248231522200335,0.9820664417973067,0.028958451731935394,0.9253089193546719,1.0388239642399417,0.8740932929025758,12
USDC,first_difference,2191,0.0015933120407762781,0.7027982855054342,0.0632850354518109,0.5787618952595444,0.8268346757513241,0.4429861667478555,12
USDT,levels,2192,0.5099370651605408,1.0144749435471747,0.007290393437976963,1.0001860349756126,1.0287638521187368,0.9866528545738052,12
USDT,first_difference,2191,0.0002720506934564893,0.9269196174869975,0.023030664830131324,0.8817803438799268,0.9720588910940682,0.8408110197181776,12
