year,n_countries,mean_adoption,sd_adoption,min_adoption,max_adoption,pct_nonmissing_gdp,pct_nonmissing_inflation,pct_nonmissing_baseline,pct_nonmissing_remittances,n_forward_filled
2020,149,0.4647171620325982,0.30945438456281615,0.0,1.0,100.0,95.30201342281879,87.91946308724832,92.61744966442953,0
2021,148,0.5149175149175149,0.2850171597304236,0.0,1.0,100.0,94.5945945945946,87.16216216216216,91.8918918918919,0
2022,142,0.5044681884409908,0.2894057867174564,0.0,1.0,100.0,96.47887323943662,88.73239436619718,95.77464788732394,0
2023,148,0.5049140049140048,0.2911280830997637,0.0,1.0,100.0,95.94594594594594,88.51351351351352,94.5945945945946,0
2024,145,0.5022988505747125,0.2902206262827746,0.0,1.0,99.3103448275862,93.79310344827586,91.0344827586207,95.17241379310344,0
2025,129,0.4916771828616069,0.2939366953388447,0.0,1.0,99.2248062015504,95.34883720930233,93.02325581395348,94.57364341085271,129
Total,160,0.4971801332857414,0.2929371659006934,0.0,1.0,99.76771196283391,95.23809523809523,89.31475029036005,94.07665505226481,129
