spec,window,dv,n,beta,se,ci_low,ci_high,p_value,r2,hac_lags,notes
OLS levels,full (2020-01 to 2025-12),hhi_full,72,-14.224419094475557,11.91424911390409,-37.57591826056583,9.12708007161471,0.2325171834998997,0.07739104261331542,4,Headline (D-09 maxlags)
OLS levels,post-Dec-2022 (2023-01 onwards),hhi_full,36,-7.087593307593242,14.80602293309371,-36.106865010731006,21.931678395544523,0.6321544623582354,0.02438714996092639,3,"D-01 headline split, D-17 maxlags"
Chow interaction (slope diff),full (2020-01 to 2025-12),hhi_full,72,119.41930630630742,19.404798690635122,81.38659974541258,157.45201286720226,7.549927235964343e-10,0.7702299887939039,4,Interaction coef = post-period slope - pre-period slope
OLS levels,post-Jun-2022 (2022-07 onwards),hhi_full,42,20.408903654485037,15.590419698863192,-10.147757459150615,50.965564768120686,0.1905116626523382,0.1401321019865216,3,"D-01 robustness split, D-17 maxlags"
OLS levels,full (2020-01 to 2025-12),hhi_top5,72,-5.865573991896623,11.875094431469869,-29.140331390589715,17.409183406796465,0.6213491578747455,0.013917587519129082,4,Top-5 robustness on full HHI definition
OLS first-diff,full (2020-02 to 2025-12),delta_hhi_full,71,1.2369339369550643,1.9364199823445454,-2.558379487383932,5.03224736129406,0.5229702337224899,0.014000512497825635,4,D-16 robustness (ADF rejected at 1%)
