asset,AdrActCnt,date,post_nov_2022
dai,5011,2020-02-14,0
usdc_eth,4286,2020-02-14,0
usdt_trx,3373,2020-02-14,0
usdt_eth,51774,2020-02-14,0
dai,4468,2020-02-15,0
usdt_trx,3195,2020-02-15,0
usdt_eth,52041,2020-02-15,0
usdc_eth,3570,2020-02-15,0
usdt_trx,2573,2020-02-16,0
dai,3990,2020-02-16,0
usdt_eth,41214,2020-02-16,0
usdc_eth,3418,2020-02-16,0
dai,4389,2020-02-17,0
usdc_eth,3629,2020-02-17,0
usdt_eth,47378,2020-02-17,0
usdt_trx,2629,2020-02-17,0
usdc_eth,4162,2020-02-18,0
usdt_eth,47133,2020-02-18,0
usdt_trx,2523,2020-02-18,0
dai,4603,2020-02-18,0
usdt_trx,2924,2020-02-19,0
dai,4358,2020-02-19,0
usdc_eth,3981,2020-02-19,0
usdt_eth,45488,2020-02-19,0
usdt_trx,2912,2020-02-20,0
dai,4591,2020-02-20,0
usdt_eth,48840,2020-02-20,0
usdc_eth,4034,2020-02-20,0
dai,3888,2020-02-21,0
usdt_eth,54795,2020-02-21,0
usdt_trx,2648,2020-02-21,0
usdc_eth,3608,2020-02-21,0
usdc_eth,2634,2020-02-22,0
usdt_eth,39584,2020-02-22,0
dai,3386,2020-02-22,0
usdt_trx,2566,2020-02-22,0
usdc_eth,2525,2020-02-23,0
dai,3387,2020-02-23,0
usdt_trx,2545,2020-02-23,0
usdt_eth,44171,2020-02-23,0
usdc_eth,3508,2020-02-24,0
dai,4014,2020-02-24,0
usdt_trx,3144,2020-02-24,0
usdt_eth,57767,2020-02-24,0
usdt_eth,50366,2020-02-25,0
usdt_trx,3638,2020-02-25,0
dai,4223,2020-02-25,0
usdc_eth,3930,2020-02-25,0
usdc_eth,5318,2020-02-26,0
usdt_eth,53325,2020-02-26,0
usdt_trx,3822,2020-02-26,0
dai,5382,2020-02-26,0
dai,4713,2020-02-27,0
usdt_eth,50806,2020-02-27,0
usdc_eth,5199,2020-02-27,0
usdt_trx,3380,2020-02-27,0
usdt_eth,53879,2020-02-28,0
usdc_eth,4605,2020-02-28,0
usdt_trx,2780,2020-02-28,0
dai,4017,2020-02-28,0
usdc_eth,2803,2020-02-29,0
usdt_trx,2796,2020-02-29,0
dai,2823,2020-02-29,0
usdt_eth,48569,2020-02-29,0
dai,3697,2020-03-01,0
usdt_trx,2300,2020-03-01,0
usdc_eth,3110,2020-03-01,0
usdt_eth,45076,2020-03-01,0
dai,3977,2020-03-02,0
usdc_eth,4488,2020-03-02,0
usdt_trx,3130,2020-03-02,0
usdt_eth,54072,2020-03-02,0
usdt_eth,50342,2020-03-03,0
usdt_trx,4119,2020-03-03,0
dai,3670,2020-03-03,0
usdc_eth,4711,2020-03-03,0
usdc_eth,4027,2020-03-04,0
usdt_eth,50727,2020-03-04,0
usdt_trx,4136,2020-03-04,0
dai,4140,2020-03-04,0
usdc_eth,4645,2020-03-05,0
usdt_eth,60245,2020-03-05,0
dai,4648,2020-03-05,0
usdt_trx,3286,2020-03-05,0
usdc_eth,4589,2020-03-06,0
usdt_trx,2882,2020-03-06,0
usdt_eth,49532,2020-03-06,0
dai,4132,2020-03-06,0
dai,3142,2020-03-07,0
usdt_eth,48551,2020-03-07,0
usdc_eth,3333,2020-03-07,0
usdt_trx,3043,2020-03-07,0
usdt_trx,21130,2020-03-08,0
usdc_eth,3879,2020-03-08,0
usdt_eth,47210,2020-03-08,0
dai,3907,2020-03-08,0
dai,5451,2020-03-09,0
usdt_eth,60908,2020-03-09,0
usdc_eth,5471,2020-03-09,0
usdt_trx,22297,2020-03-09,0
usdt_eth,59025,2020-03-10,0
usdc_eth,4283,2020-03-10,0
usdt_trx,21231,2020-03-10,0
dai,4054,2020-03-10,0
usdt_trx,21343,2020-03-11,0
usdt_eth,60563,2020-03-11,0
usdc_eth,3902,2020-03-11,0
dai,4450,2020-03-11,0
usdt_eth,68691,2020-03-12,0
usdc_eth,8334,2020-03-12,0
dai,8187,2020-03-12,0
usdt_trx,22772,2020-03-12,0
usdt_eth,80300,2020-03-13,0
usdc_eth,10125,2020-03-13,0
dai,8851,2020-03-13,0
usdt_trx,20972,2020-03-13,0
dai,4429,2020-03-14,0
usdt_trx,19211,2020-03-14,0
usdt_eth,52134,2020-03-14,0
usdc_eth,4695,2020-03-14,0
usdc_eth,4295,2020-03-15,0
dai,4793,2020-03-15,0
usdt_trx,21928,2020-03-15,0
usdt_eth,50265,2020-03-15,0
usdt_trx,24402,2020-03-16,0
usdc_eth,6932,2020-03-16,0
usdt_eth,69626,2020-03-16,0
dai,6392,2020-03-16,0
usdt_trx,22000,2020-03-17,0
dai,3724,2020-03-17,0
usdc_eth,7144,2020-03-17,0
usdt_eth,75765,2020-03-17,0
dai,3253,2020-03-18,0
usdc_eth,6119,2020-03-18,0
usdt_trx,19539,2020-03-18,0
usdt_eth,66896,2020-03-18,0
usdt_eth,68812,2020-03-19,0
usdt_trx,20297,2020-03-19,0
dai,3906,2020-03-19,0
usdc_eth,7260,2020-03-19,0
usdt_eth,68095,2020-03-20,0
dai,3494,2020-03-20,0
usdt_trx,19895,2020-03-20,0
usdc_eth,6615,2020-03-20,0
usdt_trx,20472,2020-03-21,0
usdc_eth,4831,2020-03-21,0
usdt_eth,61560,2020-03-21,0
dai,2256,2020-03-21,0
dai,2379,2020-03-22,0
usdt_trx,12338,2020-03-22,0
usdt_eth,56851,2020-03-22,0
usdc_eth,3798,2020-03-22,0
dai,3025,2020-03-23,0
usdt_trx,4825,2020-03-23,0
usdc_eth,5135,2020-03-23,0
usdt_eth,64571,2020-03-23,0
dai,2861,2020-03-24,0
usdt_eth,59692,2020-03-24,0
usdc_eth,5428,2020-03-24,0
usdt_trx,3077,2020-03-24,0
usdc_eth,4420,2020-03-25,0
usdt_trx,3801,2020-03-25,0
usdt_eth,57786,2020-03-25,0
dai,2738,2020-03-25,0
dai,2864,2020-03-26,0
usdt_trx,4398,2020-03-26,0
usdc_eth,5182,2020-03-26,0
usdt_eth,64964,2020-03-26,0
usdt_trx,4647,2020-03-27,0
dai,2795,2020-03-27,0
usdc_eth,5240,2020-03-27,0
usdt_eth,62512,2020-03-27,0
usdc_eth,4415,2020-03-28,0
usdt_eth,58389,2020-03-28,0
dai,2724,2020-03-28,0
usdt_trx,17542,2020-03-28,0
usdt_trx,21396,2020-03-29,0
usdc_eth,3441,2020-03-29,0
dai,2202,2020-03-29,0
usdt_eth,57858,2020-03-29,0
dai,2672,2020-03-30,0
usdt_trx,21865,2020-03-30,0
usdt_eth,64919,2020-03-30,0
usdc_eth,4703,2020-03-30,0
usdt_trx,21926,2020-03-31,0
usdc_eth,4599,2020-03-31,0
usdt_eth,75170,2020-03-31,0
dai,2842,2020-03-31,0
usdt_eth,66665,2020-04-01,0
usdt_trx,16219,2020-04-01,0
usdc_eth,5112,2020-04-01,0
dai,3069,2020-04-01,0
usdc_eth,6053,2020-04-02,0
usdt_eth,73015,2020-04-02,0
dai,3494,2020-04-02,0
usdt_trx,22638,2020-04-02,0
usdt_eth,73635,2020-04-03,0
usdt_trx,20399,2020-04-03,0
dai,3050,2020-04-03,0
usdc_eth,5386,2020-04-03,0
dai,2563,2020-04-04,0
usdt_eth,49777,2020-04-04,0
usdt_trx,21670,2020-04-04,0
usdc_eth,3962,2020-04-04,0
usdt_trx,3951,2020-04-05,0
usdt_eth,52703,2020-04-05,0
dai,2411,2020-04-05,0
usdc_eth,3662,2020-04-05,0
usdc_eth,6026,2020-04-06,0
usdt_eth,74947,2020-04-06,0
dai,4225,2020-04-06,0
usdt_trx,4872,2020-04-06,0
usdc_eth,6886,2020-04-07,0
usdt_trx,4648,2020-04-07,0
usdt_eth,80573,2020-04-07,0
dai,4071,2020-04-07,0
usdt_eth,74887,2020-04-08,0
usdt_trx,7041,2020-04-08,0
dai,3161,2020-04-08,0
usdc_eth,5327,2020-04-08,0
usdc_eth,5317,2020-04-09,0
usdt_eth,72739,2020-04-09,0
dai,2955,2020-04-09,0
usdt_trx,5477,2020-04-09,0
usdc_eth,6524,2020-04-10,0
usdt_trx,5095,2020-04-10,0
dai,3534,2020-04-10,0
usdt_eth,74766,2020-04-10,0
dai,2338,2020-04-11,0
usdt_trx,22461,2020-04-11,0
usdt_eth,65451,2020-04-11,0
usdc_eth,4080,2020-04-11,0
dai,2243,2020-04-12,0
usdt_trx,22953,2020-04-12,0
usdt_eth,63044,2020-04-12,0
usdc_eth,4016,2020-04-12,0
usdt_eth,73819,2020-04-13,0
usdc_eth,5147,2020-04-13,0
usdt_trx,5603,2020-04-13,0
dai,2663,2020-04-13,0
usdc_eth,4956,2020-04-14,0
dai,2498,2020-04-14,0
usdt_eth,83234,2020-04-14,0
usdt_trx,6105,2020-04-14,0
dai,2821,2020-04-15,0
usdt_trx,7804,2020-04-15,0
usdt_eth,77738,2020-04-15,0
usdc_eth,5314,2020-04-15,0
dai,3353,2020-04-16,0
usdc_eth,6083,2020-04-16,0
usdt_eth,81211,2020-04-16,0
usdt_trx,18183,2020-04-16,0
usdt_trx,24634,2020-04-17,0
dai,2676,2020-04-17,0
usdc_eth,5896,2020-04-17,0
usdt_eth,79427,2020-04-17,0
usdc_eth,4900,2020-04-18,0
dai,2995,2020-04-18,0
usdt_eth,71439,2020-04-18,0
usdt_trx,24097,2020-04-18,0
usdc_eth,4415,2020-04-19,0
usdt_trx,24425,2020-04-19,0
dai,2935,2020-04-19,0
usdt_eth,70607,2020-04-19,0
usdt_eth,84735,2020-04-20,0
dai,3350,2020-04-20,0
usdc_eth,5721,2020-04-20,0
usdt_trx,24590,2020-04-20,0
dai,3021,2020-04-21,0
usdt_eth,83237,2020-04-21,0
usdc_eth,5756,2020-04-21,0
usdt_trx,24090,2020-04-21,0
dai,3318,2020-04-22,0
usdt_trx,24684,2020-04-22,0
usdc_eth,5738,2020-04-22,0
usdt_eth,85540,2020-04-22,0
dai,3963,2020-04-23,0
usdt_eth,85163,2020-04-23,0
usdt_trx,24046,2020-04-23,0
usdc_eth,7026,2020-04-23,0
usdt_trx,21664,2020-04-24,0
usdt_eth,89399,2020-04-24,0
dai,3634,2020-04-24,0
usdc_eth,6327,2020-04-24,0
dai,3072,2020-04-25,0
usdt_eth,76199,2020-04-25,0
usdt_trx,4061,2020-04-25,0
usdc_eth,5458,2020-04-25,0
dai,2828,2020-04-26,0
usdt_eth,84138,2020-04-26,0
usdt_trx,3906,2020-04-26,0
usdc_eth,4783,2020-04-26,0
usdt_trx,5852,2020-04-27,0
dai,3554,2020-04-27,0
usdc_eth,5709,2020-04-27,0
usdt_eth,92249,2020-04-27,0
usdt_trx,4354,2020-04-28,0
dai,3640,2020-04-28,0
usdt_eth,95742,2020-04-28,0
usdc_eth,5925,2020-04-28,0
dai,4780,2020-04-29,0
usdc_eth,7885,2020-04-29,0
usdt_eth,98923,2020-04-29,0
usdt_trx,6021,2020-04-29,0
usdt_eth,103357,2020-04-30,0
usdt_trx,6796,2020-04-30,0
dai,4534,2020-04-30,0
usdc_eth,7476,2020-04-30,0
dai,3842,2020-05-01,0
usdc_eth,7233,2020-05-01,0
usdt_eth,86498,2020-05-01,0
usdt_trx,4175,2020-05-01,0
usdt_trx,3929,2020-05-02,0
usdc_eth,5450,2020-05-02,0
usdt_eth,74276,2020-05-02,0
dai,3065,2020-05-02,0
dai,2937,2020-05-03,0
usdt_eth,69884,2020-05-03,0
usdc_eth,5171,2020-05-03,0
usdt_trx,3861,2020-05-03,0
usdc_eth,6541,2020-05-04,0
dai,3473,2020-05-04,0
usdt_eth,80942,2020-05-04,0
usdt_trx,4463,2020-05-04,0
usdt_trx,5203,2020-05-05,0
usdc_eth,6080,2020-05-05,0
usdt_eth,84243,2020-05-05,0
dai,3741,2020-05-05,0
usdt_trx,6065,2020-05-06,0
dai,3518,2020-05-06,0
usdt_eth,93308,2020-05-06,0
usdc_eth,6764,2020-05-06,0
usdc_eth,7320,2020-05-07,0
usdt_trx,5743,2020-05-07,0
usdt_eth,94505,2020-05-07,0
dai,3964,2020-05-07,0
usdc_eth,7726,2020-05-08,0
dai,3715,2020-05-08,0
usdt_trx,4707,2020-05-08,0
usdt_eth,90525,2020-05-08,0
usdt_trx,4573,2020-05-09,0
usdt_eth,103208,2020-05-09,0
dai,3212,2020-05-09,0
usdc_eth,5688,2020-05-09,0
usdt_eth,96036,2020-05-10,0
usdc_eth,7714,2020-05-10,0
dai,4183,2020-05-10,0
usdt_trx,5343,2020-05-10,0
dai,4114,2020-05-11,0
usdc_eth,7493,2020-05-11,0
usdt_eth,107212,2020-05-11,0
usdt_trx,5621,2020-05-11,0
usdt_trx,4794,2020-05-12,0
usdt_eth,91624,2020-05-12,0
dai,3457,2020-05-12,0
usdc_eth,6962,2020-05-12,0
usdt_trx,8050,2020-05-13,0
usdt_eth,94230,2020-05-13,0
dai,3347,2020-05-13,0
usdc_eth,6934,2020-05-13,0
usdc_eth,8508,2020-05-14,0
usdt_eth,95317,2020-05-14,0
dai,3601,2020-05-14,0
usdt_trx,7786,2020-05-14,0
dai,3926,2020-05-15,0
usdt_trx,5514,2020-05-15,0
usdc_eth,7214,2020-05-15,0
usdt_eth,97327,2020-05-15,0
usdt_trx,4897,2020-05-16,0
usdt_eth,88524,2020-05-16,0
usdc_eth,4537,2020-05-16,0
dai,2874,2020-05-16,0
usdc_eth,4369,2020-05-17,0
usdt_trx,4610,2020-05-17,0
usdt_eth,84771,2020-05-17,0
dai,2913,2020-05-17,0
usdt_eth,99524,2020-05-18,0
dai,4026,2020-05-18,0
usdc_eth,6677,2020-05-18,0
usdt_trx,5397,2020-05-18,0
dai,3529,2020-05-19,0
usdt_trx,4812,2020-05-19,0
usdt_eth,98414,2020-05-19,0
usdc_eth,5454,2020-05-19,0
usdt_trx,5486,2020-05-20,0
dai,3757,2020-05-20,0
usdc_eth,5756,2020-05-20,0
usdt_eth,103865,2020-05-20,0
usdc_eth,7176,2020-05-21,0
usdt_eth,111013,2020-05-21,0
usdt_trx,6869,2020-05-21,0
dai,3837,2020-05-21,0
dai,3909,2020-05-22,0
usdt_trx,8438,2020-05-22,0
usdc_eth,6746,2020-05-22,0
usdt_eth,118660,2020-05-22,0
dai,2906,2020-05-23,0
usdt_trx,9141,2020-05-23,0
usdt_eth,105512,2020-05-23,0
usdc_eth,4545,2020-05-23,0
usdc_eth,5095,2020-05-24,0
usdt_eth,96056,2020-05-24,0
dai,2452,2020-05-24,0
usdt_trx,8798,2020-05-24,0
usdt_eth,122194,2020-05-25,0
usdt_trx,8829,2020-05-25,0
usdc_eth,5164,2020-05-25,0
dai,2995,2020-05-25,0
usdc_eth,5277,2020-05-26,0
dai,4072,2020-05-26,0
usdt_trx,8585,2020-05-26,0
usdt_eth,113741,2020-05-26,0
dai,3611,2020-05-27,0
usdt_trx,8755,2020-05-27,0
usdc_eth,6234,2020-05-27,0
usdt_eth,112422,2020-05-27,0
usdc_eth,5778,2020-05-28,0
usdt_eth,111325,2020-05-28,0
dai,3633,2020-05-28,0
usdt_trx,9165,2020-05-28,0
usdc_eth,7335,2020-05-29,0
dai,4124,2020-05-29,0
usdt_trx,9769,2020-05-29,0
usdt_eth,117697,2020-05-29,0
dai,3315,2020-05-30,0
usdt_eth,120443,2020-05-30,0
usdt_trx,10278,2020-05-30,0
usdc_eth,6278,2020-05-30,0
usdc_eth,4776,2020-05-31,0
dai,3079,2020-05-31,0
usdt_eth,109628,2020-05-31,0
usdt_trx,9986,2020-05-31,0
usdt_trx,11528,2020-06-01,0
dai,4184,2020-06-01,0
usdt_eth,125107,2020-06-01,0
usdc_eth,6774,2020-06-01,0
dai,5674,2020-06-02,0
usdt_trx,12150,2020-06-02,0
usdt_eth,133254,2020-06-02,0
usdc_eth,9778,2020-06-02,0
dai,4222,2020-06-03,0
usdt_trx,11626,2020-06-03,0
usdt_eth,107622,2020-06-03,0
usdc_eth,7189,2020-06-03,0
usdt_trx,12231,2020-06-04,0
usdt_eth,111897,2020-06-04,0
usdc_eth,6424,2020-06-04,0
dai,4162,2020-06-04,0
usdc_eth,7157,2020-06-05,0
usdt_trx,13364,2020-06-05,0
dai,4038,2020-06-05,0
usdt_eth,108065,2020-06-05,0
usdt_eth,190536,2020-06-06,0
usdt_trx,11742,2020-06-06,0
dai,3025,2020-06-06,0
usdc_eth,4455,2020-06-06,0
usdt_eth,203776,2020-06-07,0
usdc_eth,4403,2020-06-07,0
usdt_trx,12502,2020-06-07,0
dai,2728,2020-06-07,0
usdt_eth,150931,2020-06-08,0
usdc_eth,6280,2020-06-08,0
usdt_trx,16734,2020-06-08,0
dai,4039,2020-06-08,0
dai,5079,2020-06-09,0
usdt_trx,18967,2020-06-09,0
usdt_eth,122809,2020-06-09,0
usdc_eth,6003,2020-06-09,0
dai,3968,2020-06-10,0
usdc_eth,6214,2020-06-10,0
usdt_trx,18150,2020-06-10,0
usdt_eth,113730,2020-06-10,0
usdc_eth,8491,2020-06-11,0
usdt_eth,109942,2020-06-11,0
dai,4788,2020-06-11,0
usdt_trx,17068,2020-06-11,0
usdt_eth,128611,2020-06-12,0
dai,4423,2020-06-12,0
usdc_eth,6876,2020-06-12,0
usdt_trx,16755,2020-06-12,0
usdt_trx,13328,2020-06-13,0
usdc_eth,4608,2020-06-13,0
dai,3057,2020-06-13,0
usdt_eth,110638,2020-06-13,0
usdt_trx,13207,2020-06-14,0
dai,3274,2020-06-14,0
usdt_eth,97998,2020-06-14,0
usdc_eth,5373,2020-06-14,0
usdc_eth,6767,2020-06-15,0
usdt_eth,121608,2020-06-15,0
dai,6819,2020-06-15,0
usdt_trx,15808,2020-06-15,0
usdt_eth,127389,2020-06-16,0
usdc_eth,6719,2020-06-16,0
usdt_trx,14587,2020-06-16,0
dai,4315,2020-06-16,0
usdt_eth,118756,2020-06-17,0
dai,4212,2020-06-17,0
usdc_eth,7300,2020-06-17,0
usdt_trx,14324,2020-06-17,0
usdt_eth,127743,2020-06-18,0
dai,4380,2020-06-18,0
usdc_eth,6914,2020-06-18,0
usdt_trx,14715,2020-06-18,0
usdt_eth,131298,2020-06-19,0
usdt_trx,15074,2020-06-19,0
usdc_eth,7961,2020-06-19,0
