month,gas_threshold_95_usd
2020-01,0.7652702307326701
2020-02,0.8510677419977957
2020-03,1.7958788395385734
2020-04,0.8991599278969424
2020-05,1.9355803751540575
2020-06,5.555744850108801
2020-07,10.700431069295457
2020-08,19.303294261311095
2020-09,67.10637290179402
2020-10,32.47506063741018
2020-11,6.17150534974148
2020-12,15.159124927988197
2021-01,29.10331252631092
2021-02,156.64775033177597
2021-03,107.4761003573867
2021-04,184.94599122366412
2021-05,48.37721563193834
2021-06,87.11189843538041
2021-07,28.321920126650912
2021-08,75.51516520901043
2021-09,231.6381986227596
2021-10,237.75969798791326
2021-11,244.66945055821415
2021-12,319.35294837146665
2022-01,96.59540804738496
2022-02,317.88579033342467
2022-03,214.21720095505586
2022-04,77.89275354510742
2022-05,148.39873536469577
2022-06,44.11142370132909
2022-07,46.45508611135508
2022-08,12.142724238874822
2022-09,25.320352236557373
2022-10,11.869260339992469
2022-11,16.90519358021934
2022-12,14.040147439933733
2023-01,20.199573614996993
2023-02,25.325030418246833
2023-03,27.288413497270113
2023-04,26.9448255666414
2023-05,134.9643267060828
2023-06,36.06560296080617
2023-07,20.98812965717064
2023-08,30.080665361275326
2023-09,18.557713439036938
2023-10,9.42118443355188
2023-11,30.307027283459796
2023-12,76.45809402359275
2024-01,103.97900819489901
2024-02,40.641826971208644
2024-03,166.08966560155795
2024-04,49.72566011941962
2024-05,17.391024662217973
2024-06,174.56628044563217
2024-07,65.43288925305455
2024-08,10.750710414639695
2024-09,5.14233869786691
2024-10,90.66810738742697
2024-11,81.70268048040413
2024-12,309.6249078750637
2025-01,95.80909458685635
2025-02,22.843757176244168
2025-03,7.72104437909635
2025-04,4.2453095496719735
2025-05,2.192126147018675
2025-06,3.9851842638797996
2025-07,13.258591831313852
2025-08,4.128804423800196
2025-09,6.659933179115803
2025-10,9.855739931273542
2025-11,2.6024738274029025
2025-12,3.7058550203612666
