country_iso3,year,rank,rank_note,adoption_percentile,overall_score,centralized_service_value_received_rank,defi_value_received_rank,institutional_centralized_service_value_received_rank,number_of_onchain_deposits_rank,onchain_retail_value_received_rank,onchain_value_received_rank,p2p_exchange_trade_volume_rank,retail_centralized_service_value_received_rank,retail_defi_value_received_rank
BFA,2022,133.0,,0.08965517241379306,,128.0,108.0,,,,,136.0,128.0,116.0
BFA,2023,110.0,,0.29220779220779225,,94.0,131.0,,,,,39.0,83.0,131.0
BFA,2024,110.0,,0.2733333333333333,,131.0,96.0,,,,,,128.0,87.0
BGD,2020,45.0,,0.6857142857142857,0.118,,,,104.0,21.0,24.0,80.0,,
BGD,2021,29.0,,0.8181818181818181,0.09,,,,,30.0,40.0,54.0,,
BGD,2022,36.0,,0.7586206896551724,,30.0,48.0,,,,,92.0,30.0,39.0
BGD,2023,17.0,,0.8961038961038961,,18.0,22.0,,,,,33.0,19.0,22.0
BGD,2024,35.0,,0.7733333333333333,,27.0,50.0,,,,,,23.0,41.0
BGD,2025,13.0,,0.9069767441860466,,15.0,14.0,14.0,,,,,14.0,
BGR,2020,65.0,,0.5428571428571429,0.073,,,,11.0,45.0,33.0,118.0,,
BGR,2021,28.0,,0.8246753246753247,0.09,,,,,41.0,46.0,30.0,,
BGR,2022,48.0,,0.6758620689655173,,48.0,42.0,,,,,54.0,48.0,44.0
BGR,2023,58.0,,0.6298701298701299,,53.0,38.0,,,,,100.0,57.0,38.0
BGR,2024,53.0,,0.6533333333333333,,63.0,54.0,,,,,,74.0,48.0
BGR,2025,69.0,,0.4728682170542635,,77.0,55.0,77.0,,,,,72.0,
BHR,2020,121.0,,0.1428571428571429,0.009,,,,77.0,138.0,138.0,107.0,,
BHR,2021,143.0,,0.07792207792207795,0.0,,,,,140.0,138.0,127.0,,
BHR,2022,135.0,,0.07586206896551728,,132.0,132.0,,,,,134.0,132.0,131.0
BHR,2023,133.0,,0.1428571428571429,,136.0,122.0,,,,,141.0,142.0,122.0
BHR,2024,134.0,,0.11333333333333329,,144.0,125.0,,,,,,140.0,129.0
BHR,2025,115.0,,0.11627906976744184,,115.0,109.0,114.0,,,,,116.0,
BHS,2020,133.0,,0.05714285714285716,0.003,,,,69.0,143.0,143.0,133.0,,
BHS,2021,128.0,,0.17532467532467533,0.01,,,,,132.0,131.0,60.0,,
BHS,2022,118.0,,0.19310344827586212,,137.0,120.0,,,,,3.0,137.0,126.0
BHS,2023,127.0,,0.18181818181818177,,130.0,117.0,,,,,128.0,130.0,117.0
BHS,2024,128.0,,0.15333333333333332,,146.0,106.0,,,,,,149.0,103.0
BHS,2025,129.0,,0.007751937984496138,,128.0,130.0,128.0,,,,,130.0,
BIH,2020,86.0,,0.3928571428571429,0.042,,,,55.0,95.0,99.0,87.0,,
BIH,2021,114.0,,0.26623376623376627,0.02,,,,,113.0,116.0,69.0,,
BIH,2022,115.0,,0.21379310344827585,,113.0,112.0,,,,,65.0,113.0,109.0
BIH,2023,126.0,,0.18831168831168832,,109.0,119.0,,,,,144.0,123.0,119.0
BIH,2024,81.0,,0.4666666666666667,,105.0,66.0,,,,,,98.0,64.0
BIH,2025,97.0,,0.2558139534883721,,93.0,98.0,97.0,,,,,82.0,
BLR,2020,19.0,,0.8714285714285714,0.241,,,,25.0,44.0,42.0,12.0,,
BLR,2021,33.0,,0.7922077922077921,0.08,,,,,40.0,36.0,52.0,,
BLR,2022,25.0,,0.8344827586206897,,31.0,43.0,,,,,29.0,31.0,57.0
BLR,2023,44.0,,0.7207792207792207,,40.0,41.0,,,,,61.0,36.0,41.0
BLR,2024,38.0,,0.7533333333333333,,43.0,39.0,,,,,,34.0,40.0
BLR,2025,49.0,,0.627906976744186,,48.0,64.0,52.0,,,,,41.0,
BLZ,2020,138.0,,0.021428571428571463,0.002,,,,117.0,147.0,145.0,130.0,,
BLZ,2021,138.0,,0.11038961038961037,0.01,,,,,148.0,140.0,58.0,,
BLZ,2022,70.0,,0.5241379310344827,,106.0,109.0,,,,,8.0,106.0,71.0
BLZ,2024,148.0,,0.020000000000000018,,152.0,123.0,,,,,,158.0,149.0
BOL,2020,59.0,,0.5857142857142856,0.082,,,,89.0,65.0,69.0,38.0,,
BOL,2021,52.0,,0.6688311688311688,0.05,,,,,83.0,63.0,27.0,,
BOL,2022,42.0,,0.7172413793103448,,54.0,93.0,,,,,20.0,54.0,91.0
BOL,2023,79.0,,0.49350649350649356,,62.0,111.0,,,,,64.0,55.0,111.0
BOL,2024,101.0,,0.33333333333333337,,48.0,124.0,,,,,,52.0,115.0
BOL,2025,46.0,,0.6511627906976745,,32.0,89.0,34.0,,,,,32.0,
BRA,2020,13.0,,0.9142857142857143,0.338,,,,66.0,5.0,6.0,68.0,,
BRA,2021,14.0,,0.9155844155844156,0.16,,,,,7.0,5.0,113.0,,
BRA,2022,7.0,,0.9586206896551724,,7.0,8.0,,,,,113.0,7.0,7.0
BRA,2023,9.0,,0.948051948051948,,9.0,11.0,,,,,15.0,11.0,11.0
BRA,2024,10.0,,0.94,,8.0,10.0,,,,,,10.0,14.0
BRA,2025,5.0,,0.9689922480620154,,5.0,5.0,5.0,,,,,5.0,
BRB,2020,111.0,,0.2142857142857143,0.015,,,,33.0,136.0,133.0,102.0,,
BRB,2021,124.0,,0.2012987012987013,0.01,,,,,134.0,135.0,24.0,,
BRB,2022,101.0,,0.31034482758620685,,121.0,136.0,,,,,11.0,121.0,137.0
BRB,2023,148.0,,0.045454545454545414,,89.0,151.0,,,,,119.0,61.0,151.0
