country_iso3,year,rank,rank_note,adoption_percentile,overall_score,centralized_service_value_received_rank,defi_value_received_rank,institutional_centralized_service_value_received_rank,number_of_onchain_deposits_rank,onchain_retail_value_received_rank,onchain_value_received_rank,p2p_exchange_trade_volume_rank,retail_centralized_service_value_received_rank,retail_defi_value_received_rank
GEO,2023,52.0,,0.6688311688311688,,51.0,39.0,,,,,91.0,50.0,39.0
GEO,2024,54.0,,0.6466666666666667,,74.0,53.0,,,,,,64.0,55.0
GEO,2025,57.0,,0.5658914728682171,,70.0,46.0,73.0,,,,,60.0,
GHA,2020,27.0,,0.8142857142857143,0.18,,,,87.0,23.0,44.0,19.0,,
GHA,2021,17.0,,0.8961038961038961,0.14,,,,,37.0,32.0,10.0,,
GHA,2022,49.0,,0.6689655172413793,,66.0,68.0,,,,,14.0,66.0,58.0
GHA,2023,29.0,,0.8181818181818181,,31.0,74.0,,,,,4.0,30.0,74.0
GHA,2024,46.0,,0.7,,33.0,67.0,,,,,,35.0,57.0
GHA,2025,40.0,,0.6976744186046512,,40.0,44.0,40.0,,,,,34.0,
GIN,2023,106.0,,0.31818181818181823,,131.0,73.0,,,,,78.0,129.0,73.0
GIN,2024,140.0,,0.07333333333333336,,135.0,144.0,,,,,,131.0,140.0
GRC,2020,57.0,,0.6,0.084,,,,48.0,68.0,65.0,62.0,,
GRC,2021,91.0,,0.4155844155844156,0.03,,,,,63.0,61.0,121.0,,
GRC,2022,85.0,,0.42068965517241375,,68.0,59.0,,,,,117.0,68.0,53.0
GRC,2023,76.0,,0.512987012987013,,69.0,61.0,,,,,104.0,72.0,61.0
GRC,2024,61.0,,0.6,,69.0,65.0,,,,,,76.0,65.0
GRC,2025,70.0,,0.4651162790697675,,74.0,65.0,76.0,,,,,70.0,
GTM,2020,91.0,,0.3571428571428571,0.039,,,,131.0,81.0,74.0,72.0,,
GTM,2021,83.0,,0.4675324675324676,0.03,,,,,85.0,94.0,64.0,,
GTM,2022,69.0,,0.5310344827586206,,65.0,111.0,,,,,57.0,65.0,107.0
GTM,2023,104.0,,0.3311688311688312,,87.0,100.0,,,,,126.0,76.0,100.0
GTM,2024,120.0,,0.20666666666666667,,99.0,134.0,,,,,,95.0,132.0
GTM,2025,71.0,,0.45736434108527135,,82.0,51.0,84.0,,,,,76.0,
GUY,2020,141.0,,0.0,0.0,,,,152.0,152.0,153.0,134.0,,
GUY,2021,153.0,,0.012987012987012991,0.0,,,,,155.0,156.0,108.0,,
GUY,2022,142.0,,0.02758620689655178,,142.0,142.0,,,,,126.0,142.0,143.0
GUY,2023,155.0,,0.0,,154.0,153.0,,,,,154.0,154.0,153.0
HND,2020,116.0,,0.1785714285714286,0.013,,,,130.0,123.0,125.0,100.0,,
HND,2021,58.0,,0.6298701298701299,0.05,,,,,96.0,24.0,78.0,,
HND,2022,90.0,,0.38620689655172413,,84.0,4.0,,,,,73.0,84.0,54.0
HND,2023,105.0,,0.3246753246753247,,99.0,109.0,,,,,97.0,90.0,109.0
HND,2024,115.0,,0.24,,87.0,131.0,,,,,,107.0,123.0
HND,2025,103.0,,0.2093023255813954,,106.0,101.0,108.0,,,,,94.0,
HRV,2020,77.0,,0.4571428571428572,0.054,,,,28.0,80.0,72.0,94.0,,
HRV,2021,85.0,,0.4545454545454546,0.03,,,,,67.0,77.0,96.0,,
HRV,2022,103.0,,0.29655172413793107,,91.0,80.0,,,,,93.0,91.0,84.0
HRV,2023,102.0,,0.3441558441558441,,91.0,95.0,,,,,109.0,93.0,95.0
HRV,2024,91.0,,0.4,,85.0,90.0,,,,,,96.0,84.0
HRV,2025,85.0,,0.34883720930232553,,90.0,85.0,90.0,,,,,91.0,
HTI,2020,128.0,,0.09285714285714286,0.006,,,,148.0,125.0,130.0,121.0,,
HTI,2021,120.0,,0.2272727272727273,0.01,,,,,121.0,122.0,74.0,,
HTI,2022,132.0,,0.096551724137931,,110.0,128.0,,,,,145.0,110.0,133.0
HTI,2023,87.0,,0.4415584415584416,,103.0,101.0,,,,,42.0,113.0,101.0
HTI,2024,129.0,,0.1466666666666666,,83.0,147.0,,,,,,68.0,141.0
HUN,2020,87.0,,0.3857142857142857,0.041,,,,51.0,75.0,62.0,113.0,,
HUN,2021,102.0,,0.3441558441558441,0.02,,,,,78.0,72.0,128.0,,
HUN,2022,91.0,,0.3793103448275862,,79.0,81.0,,,,,112.0,79.0,73.0
HUN,2023,73.0,,0.5324675324675325,,79.0,47.0,,,,,96.0,77.0,47.0
HUN,2024,60.0,,0.6066666666666667,,65.0,64.0,,,,,,73.0,66.0
HUN,2025,66.0,,0.49612403100775193,,73.0,60.0,75.0,,,,,68.0,
IDN,2020,32.0,,0.7785714285714286,0.151,,,,75.0,12.0,11.0,103.0,,
IDN,2021,25.0,,0.8441558441558441,0.1,,,,,14.0,16.0,111.0,,
IDN,2022,20.0,,0.8689655172413793,,16.0,18.0,,,,,129.0,16.0,13.0
IDN,2023,7.0,,0.961038961038961,,13.0,5.0,,,,,14.0,13.0,5.0
IDN,2024,3.0,,0.9866666666666667,,6.0,1.0,,,,,,6.0,1.0
IDN,2025,7.0,,0.9534883720930233,,7.0,4.0,7.0,,,,,9.0,
IND,2020,11.0,,0.9285714285714286,0.395,,,,129.0,3.0,3.0,32.0,,
IND,2021,2.0,,0.9935064935064936,0.37,,,,,3.0,2.0,72.0,,
IND,2022,4.0,,0.9793103448275862,,1.0,1.0,,,,,82.0,1.0,1.0
IND,2023,1.0,,1.0,,1.0,1.0,,,,,5.0,1.0,1.0
IND,2024,1.0,,1.0,,1.0,3.0,,,,,,1.0,2.0
IND,2025,1.0,,1.0,,1.0,1.0,1.0,,,,,1.0,
IRL,2020,69.0,,0.5142857142857142,0.071,,,,23.0,108.0,101.0,48.0,,
IRL,2021,118.0,,0.24025974025974028,0.01,,,,,108.0,98.0,132.0,,
IRL,2022,124.0,,0.15172413793103445,,117.0,67.0,,,,,120.0,117.0,95.0
IRL,2023,115.0,,0.2597402597402597,,115.0,94.0,,,,,131.0,125.0,94.0
IRL,2024,102.0,,0.32666666666666666,,102.0,86.0,,,,,,118.0,98.0
IRL,2025,91.0,,0.3023255813953488,,99.0,79.0,95.0,,,,,105.0,
IRN,2020,52.0,,0.6357142857142857,0.092,,,,102.0,28.0,20.0,92.0,,
IRN,2021,55.0,,0.6493506493506493,0.05,,,,,19.0,33.0,141.0,,
IRN,2023,28.0,,0.8246753246753247,,33.0,31.0,,,,,57.0,14.0,31.0
IRN,2024,130.0,,0.14,,148.0,109.0,,,,,,144.0,111.0
IRQ,2020,131.0,,0.0714285714285714,0.005,,,,144.0,117.0,92.0,138.0,,
IRQ,2021,121.0,,0.22077922077922074,0.01,,,,,98.0,84.0,150.0,,
IRQ,2022,52.0,,0.6482758620689655,,24.0,98.0,,,,,130.0,24.0,101.0
IRQ,2023,64.0,,0.5909090909090908,,60.0,98.0,,,,,27.0,64.0,98.0
IRQ,2024,69.0,,0.5466666666666666,,56.0,91.0,,,,,,46.0,85.0
IRQ,2025,44.0,,0.6666666666666667,,50.0,45.0,55.0,,,,,40.0,
ISL,2020,120.0,,0.15000000000000002,0.01,,,,32.0,141.0,140.0,110.0,,
ISL,2021,147.0,,0.051948051948051965,0.0,,,,,144.0,144.0,145.0,,
ISL,2022,139.0,,0.0482758620689655,,141.0,129.0,,,,,77.0,141.0,129.0
ISL,2023,151.0,,0.025974025974025983,,146.0,133.0,,,,,153.0,149.0,133.0
ISL,2024,142.0,,0.06000000000000005,,143.0,135.0,,,,,,148.0,143.0
ISL,2025,118.0,,0.09302325581395354,,119.0,108.0,118.0,,,,,120.0,
ISR,2020,96.0,,0.3214285714285714,0.033,,,,52.0,85.0,80.0,116.0,,
ISR,2021,99.0,,0.36363636363636365,0.02,,,,,86.0,64.0,114.0,,
ISR,2022,111.0,,0.24137931034482762,,101.0,77.0,,,,,105.0,101.0,65.0
ISR,2023,75.0,,0.5194805194805194,,76.0,56.0,,,,,94.0,79.0,56.0
ISR,2024,70.0,,0.54,,89.0,61.0,,,,,,89.0,63.0
ISR,2025,72.0,,0.4496124031007752,,75.0,69.0,74.0,,,,,78.0,
ITA,2020,49.0,,0.6571428571428571,0.109,,,,71.0,36.0,31.0,78.0,,
ITA,2021,79.0,,0.49350649350649356,0.03,,,,,34.0,31.0,151.0,,
ITA,2022,51.0,,0.6551724137931034,,32.0,30.0,,,,,132.0,32.0,27.0
ITA,2023,37.0,,0.7662337662337663,,34.0,28.0,,,,,72.0,37.0,28.0
ITA,2024,37.0,,0.76,,38.0,37.0,,,,,,37.0,37.0
ITA,2025,36.0,,0.7286821705426356,,37.0,35.0,38.0,,,,,36.0,
JAM,2020,92.0,,0.35,0.038,,,,68.0,96.0,114.0,84.0,,
JAM,2021,81.0,,0.48051948051948057,0.03,,,,,111.0,110.0,15.0,,
JAM,2022,54.0,,0.6344827586206896,,97.0,100.0,,,,,4.0,97.0,98.0
JAM,2023,93.0,,0.4025974025974026,,98.0,113.0,,,,,50.0,103.0,113.0
JAM,2024,104.0,,0.31333333333333335,,109.0,97.0,,,,,,109.0,89.0
JAM,2025,92.0,,0.2945736434108527,,101.0,87.0,102.0,,,,,87.0,
JOR,2020,95.0,,0.3285714285714286,0.033,,,,114.0,90.0,87.0,89.0,,
JOR,2021,97.0,,0.37662337662337664,0.02,,,,,84.0,91.0,91.0,,
JOR,2022,68.0,,0.5379310344827586,,60.0,88.0,,,,,68.0,60.0,78.0
JOR,2023,66.0,,0.577922077922078,,54.0,87.0,,,,,68.0,47.0,87.0
JOR,2024,84.0,,0.44666666666666666,,54.0,110.0,,,,,,42.0,107.0
JOR,2025,30.0,,0.7751937984496124,,42.0,11.0,45.0,,,,,35.0,
JPN,2020,71.0,,0.5,0.065,,,,122.0,32.0,16.0,106.0,,
JPN,2021,82.0,,0.474025974025974,0.03,,,,,26.0,28.0,158.0,,
JPN,2022,26.0,,0.8275862068965517,,20.0,17.0,,,,,143.0,20.0,9.0
JPN,2023,18.0,,0.8896103896103896,,22.0,18.0,,,,,49.0,21.0,18.0
JPN,2024,23.0,,0.8533333333333333,,24.0,29.0,,,,,,20.0,25.0
JPN,2025,19.0,,0.8604651162790697,,20.0,16.0,27.0,,,,,17.0,
KAZ,2020,67.0,,0.5285714285714286,0.072,,,,84.0,74.0,61.0,60.0,,
KAZ,2021,103.0,,0.33766233766233766,0.02,,,,,70.0,75.0,138.0,,
KAZ,2022,61.0,,0.5862068965517242,,44.0,73.0,,,,,115.0,44.0,59.0
KAZ,2023,46.0,,0.7077922077922079,,41.0,40.0,,,,,81.0,35.0,40.0
KAZ,2024,57.0,,0.6266666666666667,,47.0,79.0,,,,,,41.0,76.0
KAZ,2025,55.0,,0.5813953488372092,,60.0,57.0,65.0,,,,,56.0,
KEN,2020,5.0,,0.9714285714285714,0.645,,,,57.0,11.0,37.0,1.0,,
KEN,2021,5.0,,0.974025974025974,0.28,,,,,28.0,41.0,1.0,,
KEN,2022,19.0,,0.8758620689655172,,43.0,9.0,,,,,5.0,43.0,34.0
KEN,2023,21.0,,0.8701298701298701,,20.0,55.0,,,,,3.0,34.0,55.0
KEN,2024,28.0,,0.8200000000000001,,31.0,32.0,,,,,,27.0,29.0
KEN,2025,25.0,,0.813953488372093,,21.0,32.0,21.0,,,,,22.0,
KGZ,2020,123.0,,0.12857142857142856,0.008,,,,85.0,84.0,71.0,141.0,,
KGZ,2021,70.0,,0.551948051948052,0.04,,,,,57.0,55.0,92.0,,
KGZ,2022,77.0,,0.4758620689655172,,73.0,51.0,,,,,84.0,73.0,37.0
KGZ,2023,72.0,,0.538961038961039,,64.0,42.0,,,,,122.0,54.0,42.0
KGZ,2024,76.0,,0.5,,59.0,74.0,,,,,,58.0,105.0
KGZ,2025,60.0,,0.5426356589147288,,57.0,73.0,54.0,,,,,59.0,
KHM,2020,89.0,,0.37142857142857144,0.04,,,,111.0,51.0,49.0,111.0,,
KHM,2021,42.0,,0.7337662337662338,0.07,,,,,53.0,62.0,29.0,,
KHM,2022,27.0,,0.8206896551724138,,38.0,29.0,,,,,28.0,38.0,23.0
KHM,2023,30.0,,0.8116883116883117,,45.0,17.0,,,,,56.0,43.0,17.0
KHM,2024,17.0,,0.8933333333333333,,10.0,35.0,,,,,,9.0,23.0
KHM,2025,33.0,,0.751937984496124,,30.0,47.0,32.0,,,,,28.0,
KOR,2020,17.0,,0.8857142857142857,0.246,,,,24.0,10.0,8.0,97.0,,
KOR,2021,40.0,,0.7467532467532467,0.07,,,,,13.0,13.0,153.0,,
KOR,2022,23.0,,0.8482758620689655,,11.0,28.0,,,,,141.0,11.0,22.0
KOR,2023,27.0,,0.8311688311688312,,16.0,29.0,,,,,75.0,16.0,29.0
KOR,2024,19.0,,0.88,,15.0,33.0,,,,,,14.0,33.0
KOR,2025,15.0,,0.8914728682170543,,11.0,24.0,13.0,,,,,12.0,
KWT,2020,103.0,,0.27142857142857146,0.021,,,,94.0,129.0,122.0,76.0,,
KWT,2021,132.0,,0.14935064935064934,0.01,,,,,126.0,123.0,142.0,,
KWT,2023,116.0,,0.2532467532467533,,119.0,93.0,,,,,130.0,122.0,93.0
KWT,2024,123.0,,0.18666666666666665,,130.0,122.0,,,,,,125.0,119.0
KWT,2025,99.0,,0.24031007751937983,,105.0,88.0,105.0,,,,,104.0,
LAO,2020,,Among lowest,0.0,0.0,,,,67.0,82.0,97.0,,,
LAO,2021,78.0,,0.5,0.03,,,,,91.0,93.0,53.0,,
LAO,2022,86.0,,0.4137931034482759,,88.0,83.0,,,,,59.0,88.0,86.0
LAO,2023,51.0,,0.6753246753246753,,49.0,35.0,,,,,106.0,40.0,35.0
LAO,2024,86.0,,0.43333333333333335,,70.0,88.0,,,,,,72.0,108.0
LAO,2025,125.0,,0.03875968992248058,,126.0,120.0,126.0,,,,,126.0,
LBN,2020,114.0,,0.19285714285714284,0.013,,,,120.0,119.0,118.0,115.0,,
LBN,2021,68.0,,0.564935064935065,0.04,,,,,109.0,21.0,95.0,,
LBN,2022,89.0,,0.3931034482758621,,90.0,2.0,,,,,56.0,90.0,72.0
LBN,2023,109.0,,0.2987012987012987,,101.0,118.0,,,,,83.0,96.0,118.0
LBR,2024,125.0,,0.17333333333333334,,118.0,137.0,,,,,,116.0,124.0
LBY,2020,,Among lowest,0.0,0.0,,,,107.0,132.0,127.0,,,
LBY,2021,108.0,,0.30519480519480524,0.02,,,,,118.0,112.0,59.0,,
LBY,2022,131.0,,0.10344827586206895,,125.0,125.0,,,,,137.0,125.0,122.0
LBY,2023,119.0,,0.23376623376623373,,125.0,114.0,,,,,108.0,124.0,114.0
LBY,2024,100.0,,0.33999999999999997,,111.0,92.0,,,,,,105.0,86.0
LBY,2025,128.0,,0.015503875968992276,,130.0,125.0,129.0,,,,,129.0,
LCA,2022,123.0,,0.1586206896551724,,129.0,135.0,,,,,35.0,129.0,134.0
LKA,2020,78.0,,0.44999999999999996,0.053,,,,97.0,77.0,75.0,70.0,,
LKA,2021,53.0,,0.6623376623376623,0.05,,,,,80.0,74.0,32.0,,
LKA,2022,58.0,,0.6068965517241379,,59.0,54.0,,,,,48.0,59.0,63.0
LKA,2023,50.0,,0.6818181818181819,,48.0,54.0,,,,,66.0,41.0,54.0
LKA,2024,72.0,,0.5266666666666666,,53.0,102.0,,,,,,44.0,90.0
LKA,2025,48.0,,0.6356589147286822,,41.0,78.0,41.0,,,,,44.0,
LTU,2020,35.0,,0.7571428571428571,0.144,,,,9.0,78.0,64.0,25.0,,
LTU,2021,92.0,,0.40909090909090906,0.03,,,,,89.0,101.0,67.0,,
LTU,2022,102.0,,0.303448275862069,,93.0,92.0,,,,,86.0,93.0,90.0
LTU,2023,88.0,,0.43506493506493504,,88.0,66.0,,,,,121.0,94.0,66.0
LTU,2024,82.0,,0.45999999999999996,,92.0,70.0,,,,,,100.0,72.0
LTU,2025,87.0,,0.33333333333333337,,94.0,84.0,92.0,,,,,95.0,
LUX,2020,99.0,,0.30000000000000004,0.025,,,,13.0,139.0,139.0,58.0,,
LUX,2021,142.0,,0.08441558441558439,0.0,,,,,137.0,137.0,140.0,,
LUX,2022,136.0,,0.06896551724137934,,138.0,119.0,,,,,78.0,138.0,123.0
LUX,2023,128.0,,0.17532467532467533,,143.0,115.0,,,,,107.0,145.0,115.0
LUX,2024,122.0,,0.19333333333333336,,129.0,108.0,,,,,,139.0,114.0
LUX,2025,116.0,,0.10852713178294571,,117.0,100.0,111.0,,,,,118.0,
LVA,2020,22.0,,0.85,0.204,,,,1.0,61.0,56.0,22.0,,
LVA,2021,74.0,,0.525974025974026,0.04,,,,,82.0,92.0,56.0,,
LVA,2022,92.0,,0.37241379310344824,,98.0,96.0,,,,,55.0,98.0,92.0
LVA,2023,100.0,,0.3571428571428571,,78.0,64.0,,,,,148.0,91.0,64.0
LVA,2024,79.0,,0.48,,103.0,44.0,,,,,,106.0,75.0
LVA,2025,81.0,,0.3798449612403101,,95.0,71.0,94.0,,,,,93.0,
MAR,2020,42.0,,0.7071428571428571,0.127,,,,108.0,35.0,35.0,39.0,,
MAR,2021,24.0,,0.8506493506493507,0.1,,,,,35.0,34.0,35.0,,
MAR,2022,14.0,,0.9103448275862069,,19.0,33.0,,,,,21.0,19.0,18.0
MAR,2023,20.0,,0.8766233766233766,,27.0,26.0,,,,,21.0,25.0,26.0
MAR,2024,27.0,,0.8266666666666667,,25.0,41.0,,,,,,19.0,36.0
MAR,2025,24.0,,0.8217054263565892,,23.0,25.0,28.0,,,,,20.0,
MCO,2021,136.0,,0.12337662337662336,0.01,,,,,152.0,147.0,19.0,,
MDA,2020,88.0,,0.37857142857142856,0.04,,,,22.0,70.0,68.0,120.0,,
MDA,2021,50.0,,0.6818181818181819,0.06,,,,,61.0,57.0,48.0,,
MDA,2022,41.0,,0.7241379310344828,,49.0,72.0,,,,,27.0,49.0,88.0
MDA,2023,60.0,,0.6168831168831168,,52.0,63.0,,,,,77.0,48.0,63.0
MDA,2024,59.0,,0.6133333333333333,,37.0,94.0,,,,,,38.0,88.0
MDA,2025,68.0,,0.48062015503875966,,69.0,75.0,69.0,,,,,66.0,
MDG,2020,108.0,,0.23571428571428577,0.018,,,,126.0,76.0,84.0,122.0,,
MDG,2021,66.0,,0.577922077922078,0.04,,,,,64.0,97.0,50.0,,
MDG,2022,98.0,,0.3310344827586207,,71.0,124.0,,,,,123.0,71.0,115.0
MDG,2023,125.0,,0.19480519480519476,,93.0,138.0,,,,,53.0,95.0,138.0
MDG,2024,96.0,,0.3666666666666667,,115.0,82.0,,,,,,101.0,83.0
MDG,2025,126.0,,0.03100775193798455,,124.0,129.0,123.0,,,,,125.0,
MDV,2020,127.0,,0.09999999999999998,0.006,,,,110.0,145.0,147.0,82.0,,
MDV,2021,144.0,,0.0714285714285714,0.0,,,,,146.0,146.0,88.0,,
MDV,2022,134.0,,0.08275862068965523,,140.0,139.0,,,,,46.0,140.0,135.0
MDV,2023,141.0,,0.09090909090909094,,150.0,136.0,,,,,114.0,148.0,136.0
MDV,2024,126.0,,0.16666666666666663,,127.0,120.0,,,,,,124.0,126.0
MDV,2025,130.0,,0.0,,129.0,131.0,130.0,,,,,127.0,
MEX,2020,39.0,,0.7285714285714286,0.135,,,,101.0,22.0,26.0,65.0,,
MEX,2021,44.0,,0.7207792207792207,0.06,,,,,21.0,23.0,133.0,,
MEX,2022,28.0,,0.8137931034482758,,21.0,23.0,,,,,122.0,21.0,19.0
MEX,2023,16.0,,0.9025974025974026,,17.0,16.0,,,,,30.0,18.0,16.0
MEX,2024,14.0,,0.9133333333333333,,18.0,13.0,,,,,,17.0,10.0
MEX,2025,23.0,,0.8294573643410853,,27.0,20.0,24.0,,,,,24.0,
MKD,2020,102.0,,0.2785714285714286,0.022,,,,43.0,103.0,91.0,124.0,,
MKD,2021,123.0,,0.20779220779220775,0.01,,,,,112.0,118.0,102.0,,
MKD,2022,112.0,,0.23448275862068968,,111.0,97.0,,,,,63.0,111.0,87.0
MKD,2023,113.0,,0.2727272727272727,,112.0,89.0,,,,,147.0,109.0,89.0
MKD,2024,98.0,,0.3533333333333334,,108.0,98.0,,,,,,108.0,77.0
MKD,2025,110.0,,0.15503875968992253,,107.0,111.0,106.0,,,,,100.0,
MLI,2020,101.0,,0.2857142857142857,0.023,,,,137.0,114.0,112.0,69.0,,
MLI,2021,115.0,,0.2597402597402597,0.02,,,,,123.0,129.0,37.0,,
MLI,2022,97.0,,0.33793103448275863,,112.0,134.0,,,,,25.0,112.0,130.0
MLI,2023,124.0,,0.2012987012987013,,127.0,137.0,,,,,31.0,108.0,137.0
MLI,2024,150.0,,0.00666666666666671,,88.0,156.0,,,,,,122.0,152.0
MLT,2020,83.0,,0.41428571428571426,0.048,,,,3.0,131.0,129.0,50.0,,
MLT,2021,126.0,,0.18831168831168832,0.01,,,,,128.0,109.0,105.0,,
MLT,2022,127.0,,0.13103448275862073,,133.0,113.0,,,,,79.0,133.0,112.0
MLT,2023,139.0,,0.10389610389610393,,141.0,126.0,,,,,151.0,143.0,126.0
MLT,2024,135.0,,0.10666666666666669,,137.0,133.0,,,,,,138.0,133.0
MLT,2025,113.0,,0.13178294573643412,,118.0,80.0,119.0,,,,,117.0,
MMR,2020,136.0,,0.0357142857142857,0.003,,,,143.0,93.0,66.0,142.0,,
MMR,2021,116.0,,0.2532467532467533,0.02,,,,,97.0,104.0,129.0,,
MMR,2022,73.0,,0.503448275862069,,53.0,95.0,,,,,103.0,53.0,89.0
MMR,2023,53.0,,0.6623376623376623,,50.0,91.0,,,,,17.0,52.0,91.0
MMR,2024,78.0,,0.4866666666666667,,78.0,85.0,,,,,,78.0,71.0
MMR,2025,109.0,,0.16279069767441856,,47.0,124.0,50.0,,,,,48.0,
MNE,2020,74.0,,0.47857142857142854,0.06,,,,17.0,127.0,131.0,15.0,,
MNE,2021,130.0,,0.16233766233766234,0.01,,,,,129.0,128.0,90.0,,
MNE,2022,119.0,,0.18620689655172418,,126.0,115.0,,,,,41.0,126.0,110.0
MNE,2023,132.0,,0.14935064935064934,,129.0,124.0,,,,,149.0,132.0,124.0
MNE,2024,127.0,,0.16000000000000003,,136.0,117.0,,,,,,134.0,118.0
MNE,2025,104.0,,0.20155038759689925,,116.0,81.0,117.0,,,,,112.0,
MNG,2020,,Among lowest,0.0,0.0,,,,62.0,109.0,98.0,,,
MNG,2021,90.0,,0.42207792207792205,0.03,,,,,90.0,95.0,68.0,,
MNG,2022,84.0,,0.4275862068965517,,77.0,71.0,,,,,87.0,77.0,70.0
MNG,2023,86.0,,0.44805194805194803,,86.0,103.0,,,,,74.0,70.0,103.0
MNG,2024,124.0,,0.18000000000000005,,123.0,126.0,,,,,,121.0,127.0
MNG,2025,108.0,,0.1705426356589147,,109.0,99.0,107.0,,,,,113.0,
MOZ,2020,72.0,,0.4928571428571429,0.061,,,,128.0,60.0,83.0,35.0,,
MOZ,2021,37.0,,0.7662337662337663,0.07,,,,,62.0,35.0,45.0,,
MOZ,2022,60.0,,0.5931034482758621,,36.0,63.0,,,,,125.0,36.0,62.0
MOZ,2023,82.0,,0.474025974025974,,92.0,112.0,,,,,37.0,88.0,112.0
MOZ,2024,116.0,,0.23333333333333328,,132.0,115.0,,,,,,126.0,97.0
MOZ,2025,121.0,,0.06976744186046513,,121.0,119.0,121.0,,,,,121.0,
MRT,2024,144.0,,0.046666666666666634,,134.0,143.0,,,,,,129.0,148.0
MUS,2020,75.0,,0.4714285714285714,0.059,,,,6.0,115.0,106.0,71.0,,
MUS,2021,76.0,,0.512987012987013,0.04,,,,,115.0,103.0,16.0,,
MUS,2022,122.0,,0.16551724137931034,,130.0,82.0,,,,,30.0,130.0,120.0
MUS,2023,117.0,,0.24675324675324672,,138.0,62.0,,,,,110.0,141.0,62.0
MUS,2024,147.0,,0.026666666666666616,,126.0,150.0,,,,,,130.0,150.0
MUS,2025,119.0,,0.0852713178294574,,108.0,121.0,109.0,,,,,109.0,
MWI,2020,132.0,,0.06428571428571428,0.004,,,,153.0,142.0,142.0,41.0,,
MWI,2021,134.0,,0.13636363636363635,0.01,,,,,145.0,151.0,20.0,,
MWI,2022,137.0,,0.06206896551724139,,127.0,140.0,,,,,142.0,127.0,139.0
MWI,2023,91.0,,0.4155844155844156,,108.0,104.0,,,,,47.0,118.0,104.0
MWI,2024,136.0,,0.09999999999999998,,97.0,145.0,,,,,,77.0,146.0
MYS,2020,25.0,,0.8285714285714285,0.192,,,,47.0,27.0,38.0,36.0,,
MYS,2021,23.0,,0.8571428571428572,0.1,,,,,33.0,38.0,28.0,,
MYS,2022,29.0,,0.806896551724138,,42.0,38.0,,,,,31.0,42.0,32.0
MYS,2023,38.0,,0.7597402597402597,,42.0,37.0,,,,,40.0,51.0,37.0
MYS,2024,47.0,,0.6933333333333334,,51.0,57.0,,,,,,47.0,45.0
MYS,2025,42.0,,0.6821705426356589,,45.0,40.0,43.0,,,,,46.0,
NAM,2020,104.0,,0.26428571428571423,0.021,,,,79.0,111.0,128.0,99.0,,
NAM,2021,104.0,,0.3311688311688312,0.02,,,,,127.0,124.0,14.0,,
NAM,2022,126.0,,0.13793103448275867,,131.0,122.0,,,,,64.0,131.0,127.0
NAM,2023,140.0,,0.09740259740259738,,134.0,142.0,,,,,118.0,140.0,142.0
NAM,2024,132.0,,0.1266666666666667,,138.0,130.0,,,,,,141.0,128.0
NAM,2025,120.0,,0.07751937984496127,,120.0,106.0,120.0,,,,,119.0,
NER,2023,146.0,,0.058441558441558406,,149.0,146.0,,,,,59.0,144.0,146.0
NGA,2020,8.0,,0.95,0.459,,,,112.0,7.0,14.0,3.0,,
NGA,2021,6.0,,0.9675324675324676,0.26,,,,,10.0,15.0,18.0,,
NGA,2022,11.0,,0.9310344827586207,,18.0,20.0,,,,,17.0,18.0,17.0
NGA,2023,2.0,,0.9935064935064936,,3.0,4.0,,,,,1.0,2.0,4.0
NGA,2024,2.0,,0.9933333333333333,,5.0,2.0,,,,,,2.0,3.0
NGA,2025,6.0,,0.9612403100775194,,8.0,3.0,8.0,,,,,7.0,
NIC,2020,107.0,,0.24285714285714288,0.02,,,,103.0,107.0,111.0,112.0,,
NIC,2021,110.0,,0.29220779220779225,0.02,,,,,114.0,120.0,55.0,,
NIC,2022,99.0,,0.32413793103448274,,104.0,116.0,,,,,42.0,104.0,117.0
NIC,2023,94.0,,0.39610389610389607,,117.0,77.0,,,,,86.0,111.0,77.0
NIC,2024,114.0,,0.2466666666666667,,121.0,116.0,,,,,,119.0,112.0
NIC,2025,107.0,,0.17829457364341084,,100.0,116.0,99.0,,,,,99.0,
NLD,2020,26.0,,0.8214285714285714,0.183,,,,19.0,38.0,32.0,59.0,,
NLD,2021,46.0,,0.7077922077922079,0.06,,,,,29.0,26.0,115.0,,
NLD,2022,39.0,,0.7379310344827585,,41.0,26.0,,,,,69.0,41.0,24.0
NLD,2023,39.0,,0.7532467532467533,,38.0,32.0,,,,,69.0,46.0,32.0
NLD,2024,32.0,,0.7933333333333333,,44.0,27.0,,,,,,50.0,28.0
NLD,2025,39.0,,0.7054263565891472,,39.0,26.0,37.0,,,,,49.0,
NOR,2020,68.0,,0.5214285714285714,0.072,,,,27.0,99.0,90.0,63.0,,
NOR,2021,88.0,,0.43506493506493504,0.03,,,,,79.0,71.0,93.0,,
NOR,2022,114.0,,0.2206896551724138,,108.0,85.0,,,,,83.0,108.0,99.0
NOR,2023,111.0,,0.2857142857142857,,116.0,102.0,,,,,124.0,116.0,102.0
NOR,2024,99.0,,0.3466666666666667,,101.0,99.0,,,,,,103.0,94.0
NOR,2025,78.0,,0.4031007751937985,,86.0,72.0,83.0,,,,,90.0,
NPL,2020,82.0,,0.4214285714285714,0.049,,,,115.0,43.0,41.0,108.0,,
NPL,2021,30.0,,0.8116883116883117,0.09,,,,,46.0,42.0,26.0,,
