month,eth_mean_fee_usd,eth_median_fee_usd,eth_p95_fee_usd,eth_tx_count,tron_mean_fee_usd,tron_median_fee_usd,tron_p95_fee_usd,tron_tx_count,post_nov_2022,legacy_pct_fee,legacy_flat_fee
2020-01,0.11711249356811947,0.0711314643500819,0.38883384742754523,953,0.0006305123021231656,0.0006796370725748,0.0013256870121017,20,0,0.05081808698884774,0.0
2020-02,0.1431653124912316,0.06343338722373984,0.6404893708796325,950,0.00232796768354896,0.0009697840362471,0.01040916259407,20,0,0.05081808698884774,0.0
2020-03,0.2253569160440485,0.0934331163618459,0.9827034646464656,952,0.001132303510505505,0.0011611315452748,0.0015740805742196,20,0,0.05081808698884774,0.0
2020-04,0.16399568227668312,0.0758837400182994,0.6973552206422042,951,0.00075002160786941,0.0005819207441561,0.00122416771397622,20,0,0.05081808698884774,0.0
2020-05,0.3657900045028805,0.1280565758866157,1.638963530024543,951,0.001215497197586745,0.0014290416761836,0.0015354964399690656,20,0,0.05081808698884774,0.0
2020-06,1.0031213536541366,0.3324092053352347,4.351499931962212,951,0.001282609238239555,0.0016722363156942,0.001672417411245,20,0,0.05081808698884774,0.0
2020-07,1.8157312231584037,0.6704734084063274,6.944127566278073,954,0.002415520951950095,0.001616374178147,0.004030410049521591,20,0,0.05081808698884774,0.0
2020-08,4.041554533914978,1.4980260626537114,15.326410615915112,950,0.002733971799388765,0.0025164090305681997,0.0059651162152792,20,0,0.05081808698884774,0.0
2020-09,15.675808732583135,8.917487710093381,52.39541042967932,955,0.008306976915266811,0.0048302884376209,0.030125876171211246,20,0,0.05081808698884774,0.0
2020-10,4.605101139533079,3.241590206856639,16.08506166212751,951,0.015640044297922602,0.007595040362064201,0.04110565168711459,20,0,0.05081808698884774,0.0
2020-11,1.1006415806955518,0.5446536434969618,3.5068765067839087,950,0.006200915256848851,0.00395705847760725,0.02098235369970906,20,0,0.05081808698884774,0.0
2020-12,2.845839270787734,1.789360639996329,8.303597772712676,951,0.04351226054059408,0.0179386147053407,0.12826342782351932,20,0,0.05081808698884774,0.0
2021-01,7.281823839764794,5.849391823548913,20.29942075041219,952,0.01542702194927259,0.01824938852112585,0.030087394761159843,20,0,0.04599759129379887,0.0
2021-02,29.610586938098333,14.62134607241425,100.95947219822452,952,0.10145858542214223,0.0223047954796994,0.18498289504673626,20,0,0.04599759129379887,0.0
2021-03,22.571565800205327,10.764005254700708,75.93740229131711,953,0.14260556714759595,0.108284412053238,0.2535988971345782,20,0,0.04599759129379887,0.0
2021-04,40.619444150666155,30.194526025757543,104.60902024511185,951,0.3278687150792151,0.36998440561838575,0.47029274067382004,20,0,0.04599759129379887,0.0
2021-05,14.433338469161335,10.064549860914653,37.61841754559574,950,0.37495364008320153,0.3007462695622503,0.6829598134158056,20,0,0.04599759129379887,0.0
2021-06,15.997872683762099,11.669915257333242,43.54270593764793,951,0.29311025245296385,0.2993806306424963,0.596842637618218,20,0,0.04599759129379887,0.0
2021-07,7.661407207101233,5.784867201860225,21.89597449870836,952,0.1624275374101151,0.1349622805550072,0.2701408468160322,20,0,0.04599759129379887,0.0
2021-08,15.15446767539174,11.894563392739194,46.46032986372387,950,0.21505208707339465,0.16329499287096388,0.3672470920545841,20,0,0.04599759129379887,0.0
2021-09,68.21286348468894,47.75526644625424,175.66563863321576,950,0.1793898105662784,0.1746381803830996,0.38614141793078655,20,0,0.04599759129379887,0.0
