country_iso3,country_name,year,adoption_percentile,rank,rank_note,overall_score,centralized_service_value_received_rank,defi_value_received_rank,institutional_centralized_service_value_received_rank,number_of_onchain_deposits_rank,onchain_retail_value_received_rank,onchain_value_received_rank,p2p_exchange_trade_volume_rank,retail_centralized_service_value_received_rank,retail_defi_value_received_rank,gdp_per_capita_usd,inflation_cpi_annual_pct,financial_account_baseline,baseline_year,remittances_received_pct_gdp,post_2022,is_forward_filled
ARM,Armenia,2023,0.4285714285714286,89.0,,,81.0,88.0,,,,,113.0,63.0,88.0,8159.08720967996,1.98041877615554,71.3734734683257,2024.0,6.39621098617553,1,False
ARM,Armenia,2024,0.4933333333333333,77.0,,,79.0,81.0,,,,,,70.0,81.0,8556.21406956719,0.269511978259125,71.3734734683257,2024.0,4.92468775781423,1,False
ARM,Armenia,2025,0.3953488372093023,79.0,,,79.0,86.0,81.0,,,,,73.0,,8556.21406956719,0.269511978259125,71.3734734683257,2024.0,4.92468775781423,1,True
ATG,Antigua and Barbuda,2023,0.0649350649350649,145.0,,,148.0,135.0,,,,,135.0,151.0,135.0,21494.5474000727,5.06713865364213,,,1.7389598236213,1,False
AUS,Australia,2020,0.8642857142857143,20.0,,0.21,,,,34.0,34.0,36.0,27.0,,,51983.4523666382,0.846905537459305,98.0103778290099,2024.0,0.0833273223696793,0,False
AUS,Australia,2021,0.7597402597402597,38.0,,0.07,,,,,32.0,30.0,98.0,,,60758.9044397144,2.86391042204994,98.0103778290099,2024.0,0.0538873539403801,0,False
AUS,Australia,2022,0.7310344827586207,40.0,,,40.0,25.0,,,,,90.0,40.0,21.0,65169.5191118657,6.59409671341846,98.0103778290099,2024.0,0.0713213074162778,0,False
AUS,Australia,2023,0.7402597402597403,41.0,,,37.0,33.0,,,,,70.0,42.0,33.0,65058.3773146674,5.5970149253731,98.0103778290099,2024.0,0.0928559687058244,1,False
AUS,Australia,2024,0.7466666666666666,39.0,,,41.0,36.0,,,,,,48.0,34.0,64603.9856308464,3.1616142830575,98.0103778290099,2024.0,0.100476992804764,1,False
AUS,Australia,2025,0.7131782945736433,38.0,,,38.0,30.0,36.0,,,,,45.0,,64603.9856308464,3.1616142830575,98.0103778290099,2024.0,0.100476992804764,1,True
AUT,Austria,2020,0.6214285714285714,54.0,,0.087,,,,29.0,72.0,58.0,67.0,,,48716.4098900349,1.38191063351862,99.5084974640411,2024.0,0.69677434560967,0,False
AUT,Austria,2021,0.3701298701298701,98.0,,0.02,,,,,65.0,67.0,130.0,,,53648.6437976214,2.7666666666667,99.5084974640411,2024.0,0.664274745885735,0,False
AUT,Austria,2022,0.2689655172413793,107.0,,,83.0,56.0,,,,,127.0,83.0,66.0,52336.7725223758,8.5468699318845,99.5084974640411,2024.0,0.636214157041973,0,False
AUT,Austria,2023,0.461038961038961,84.0,,,73.0,65.0,,,,,127.0,78.0,65.0,56579.504175468,7.81413417002832,99.5084974640411,2024.0,0.631386866730441,1,False
AUT,Austria,2024,0.5133333333333333,74.0,,,84.0,71.0,,,,,,84.0,67.0,58268.8787651601,2.93791574279383,99.5084974640411,2024.0,0.651189560177177,1,False
AUT,Austria,2025,0.4341085271317829,74.0,,,80.0,58.0,78.0,,,,,88.0,,58268.8787651601,2.93791574279383,99.5084974640411,2024.0,0.651189560177177,1,True
AZE,Azerbaijan,2020,0.1142857142857143,125.0,,0.008,,,,119.0,116.0,102.0,136.0,,,4229.91064904503,2.75980947008127,56.3046655573957,2024.0,3.2864567961961,0,False
AZE,Azerbaijan,2021,0.3506493506493506,101.0,,0.02,,,,,69.0,96.0,110.0,,,5408.04535175023,6.65029912708779,56.3046655573957,2024.0,2.78454087413308,0,False
AZE,Azerbaijan,2022,0.2551724137931034,109.0,,,100.0,102.0,,,,,88.0,100.0,94.0,7770.594223351,13.8522590144267,56.3046655573957,2024.0,5.012251973723,0,False
AZE,Azerbaijan,2023,0.525974025974026,74.0,,,67.0,72.0,,,,,99.0,56.0,72.0,7133.02838048328,8.78543049849081,56.3046655573957,2024.0,2.64096975190127,1,False
AZE,Azerbaijan,2024,0.3933333333333333,92.0,,,75.0,107.0,,,,,,69.0,106.0,7283.8499076179,2.21217188919901,56.3046655573957,2024.0,1.81882789681566,1,False
AZE,Azerbaijan,2025,0.3100775193798449,90.0,,,81.0,97.0,82.0,,,,,83.0,,7283.8499076179,2.21217188919901,56.3046655573957,2024.0,1.81882789681566,1,True
BEL,Belgium,2020,0.6928571428571428,44.0,,0.125,,,,30.0,55.0,51.0,47.0,,,45906.2875805246,0.740791812220344,98.2369093220798,2024.0,2.47543593372868,0,False
BEL,Belgium,2021,0.5454545454545454,71.0,,0.04,,,,,52.0,56.0,100.0,,,51658.238294958,2.44024851144084,98.2369093220798,2024.0,2.38689121016773,0,False
BEL,Belgium,2022,0.3586206896551724,94.0,,,74.0,58.0,,,,,128.0,74.0,55.0,50605.7496677086,9.597511728725,98.2369093220798,2024.0,2.37479009326131,0,False
BEL,Belgium,2023,0.4805194805194805,81.0,,,74.0,75.0,,,,,105.0,82.0,75.0,55291.4754541329,4.04901077613941,98.2369093220798,2024.0,2.24799476941634,1,False
BEL,Belgium,2024,0.5533333333333333,68.0,,,77.0,63.0,,,,,,83.0,69.0,56614.5679499036,3.14349136500041,98.2369093220798,2024.0,2.3058808956455,1,False
BEL,Belgium,2025,0.5116279069767442,64.0,,,72.0,50.0,68.0,,,,,77.0,,56614.5679499036,3.14349136500041,98.2369093220798,2024.0,2.3058808956455,1,True
BEN,Benin,2020,0.3642857142857143,90.0,,0.039,,,,109.0,66.0,81.0,88.0,,,1200.19426557789,3.02272119663759,51.8432060403598,2024.0,1.30443860209878,0,False
BEN,Benin,2021,0.7727272727272727,36.0,,0.07,,,,,75.0,76.0,11.0,,,1318.65158075198,1.73353962694036,51.8432060403598,2024.0,1.30551361346959,0,False
BEN,Benin,2022,0.2758620689655172,106.0,,,94.0,52.0,,,,,85.0,94.0,103.0,1266.42711031904,1.35077863583527,51.8432060403598,2024.0,1.43702897358244,0,False
BEN,Benin,2023,0.487012987012987,80.0,,,123.0,79.0,,,,,34.0,119.0,79.0,1394.17784721831,2.73870078406075,51.8432060403598,2024.0,1.72082497476655,1,False
BEN,Benin,2024,0.38,94.0,,,119.0,72.0,,,,,,115.0,68.0,1485.38018885134,1.16093089640415,51.8432060403598,2024.0,1.09690827945195,1,False
BFA,Burkina Faso,2020,0.1071428571428571,126.0,,0.006,,,,149.0,126.0,124.0,114.0,,,825.237038782475,1.88470066518847,51.4274911911242,2024.0,2.95970546183422,0,False
BFA,Burkina Faso,2021,0.1558441558441559,131.0,,0.01,,,,,120.0,125.0,139.0,,,895.535288442991,3.65326761825509,51.4274911911242,2024.0,2.89859371271546,0,False
BFA,Burkina Faso,2022,0.089655172413793,133.0,,,128.0,108.0,,,,,136.0,128.0,116.0,827.330843486661,14.2902354303358,51.4274911911242,2024.0,2.81334408479241,0,False
BFA,Burkina Faso,2023,0.2922077922077922,110.0,,,94.0,131.0,,,,,39.0,83.0,131.0,873.482589651003,0.742910428668918,51.4274911911242,2024.0,2.90560060201336,1,False
BFA,Burkina Faso,2024,0.2733333333333333,110.0,,,131.0,96.0,,,,,,128.0,87.0,981.992649769081,4.19081721344523,51.4274911911242,2024.0,2.55138115666637,1,False
BGD,Bangladesh,2020,0.6857142857142857,45.0,,0.118,,,,104.0,21.0,24.0,80.0,,,2248.85078828233,5.69107474746211,43.2839733431322,2024.0,5.81626795895569,0,False
BGD,Bangladesh,2021,0.8181818181818181,29.0,,0.09,,,,,30.0,40.0,54.0,,,2482.84917843357,5.54565430773473,43.2839733431322,2024.0,5.33437804101103,0,False
BGD,Bangladesh,2022,0.7586206896551724,36.0,,,30.0,48.0,,,,,92.0,30.0,39.0,2716.48592780431,7.69695437176898,43.2839733431322,2024.0,4.6737649876073,0,False
BGD,Bangladesh,2023,0.8961038961038961,17.0,,,18.0,22.0,,,,,33.0,19.0,22.0,2551.01773827307,9.8835030377921,43.2839733431322,2024.0,5.04555725354251,1,False
BGD,Bangladesh,2024,0.7733333333333333,35.0,,,27.0,50.0,,,,,,23.0,41.0,2593.41611680774,10.4657482763412,43.2839733431322,2024.0,6.11494686698428,1,False
BGD,Bangladesh,2025,0.9069767441860466,13.0,,,15.0,14.0,14.0,,,,,14.0,,2593.41611680774,10.4657482763412,43.2839733431322,2024.0,6.11494686698428,1,True
BGR,Bulgaria,2020,0.5428571428571429,65.0,,0.073,,,,11.0,45.0,33.0,118.0,,,10760.211975413,1.67244096855756,84.7243949771558,2024.0,2.81676543082857,0,False
BGR,Bulgaria,2021,0.8246753246753247,28.0,,0.09,,,,,41.0,46.0,30.0,,,12966.1457543396,3.29774435299515,84.7243949771558,2024.0,2.38261240314066,0,False
BGR,Bulgaria,2022,0.6758620689655173,48.0,,,48.0,42.0,,,,,54.0,48.0,44.0,13999.1949530956,15.3252589264366,84.7243949771558,2024.0,2.31150029458411,0,False
BGR,Bulgaria,2023,0.6298701298701299,58.0,,,53.0,38.0,,,,,100.0,57.0,38.0,15853.208636704,9.44284140088564,84.7243949771558,2024.0,2.2372183910043,1,False
BGR,Bulgaria,2024,0.6533333333333333,53.0,,,63.0,54.0,,,,,,74.0,48.0,17596.0173663521,2.44651943006079,84.7243949771558,2024.0,2.3318173189881,1,False
BGR,Bulgaria,2025,0.4728682170542635,69.0,,,77.0,55.0,77.0,,,,,72.0,,17596.0173663521,2.44651943006079,84.7243949771558,2024.0,2.3318173189881,1,True
BHR,Bahrain,2020,0.1428571428571429,121.0,,0.009,,,,77.0,138.0,138.0,107.0,,,24342.8444554718,-2.31770629331379,82.3220521049445,2024.0,,0,False
BHR,Bahrain,2021,0.0779220779220779,143.0,,0.0,,,,,140.0,138.0,127.0,,,27147.8083882286,-0.60631938514085,82.3220521049445,2024.0,,0,False
BHR,Bahrain,2022,0.0758620689655172,135.0,,,132.0,132.0,,,,,134.0,132.0,131.0,30470.5219276023,3.62574104304482,82.3220521049445,2024.0,,0,False
BHR,Bahrain,2023,0.1428571428571429,133.0,,,136.0,122.0,,,,,141.0,142.0,122.0,29290.1284215098,0.0746206782192256,82.3220521049445,2024.0,,1,False
BHR,Bahrain,2024,0.1133333333333332,134.0,,,144.0,125.0,,,,,,140.0,129.0,29653.5682731534,0.919635459817651,82.3220521049445,2024.0,,1,False
BHR,Bahrain,2025,0.1162790697674418,115.0,,,115.0,109.0,114.0,,,,,116.0,,29653.5682731534,0.919635459817651,82.3220521049445,2024.0,,1,True
BHS,"Bahamas, The",2020,0.0571428571428571,133.0,,0.003,,,,69.0,143.0,143.0,133.0,,,26178.7537607708,0.0385210980054558,,,0.49025118689208,0,False
BHS,"Bahamas, The",2021,0.1753246753246753,128.0,,0.01,,,,,132.0,131.0,60.0,,,30367.8605757708,2.90491262928478,,,0.440646340450278,0,False
BHS,"Bahamas, The",2022,0.1931034482758621,118.0,,,137.0,120.0,,,,,3.0,137.0,126.0,34957.1613279737,5.60540633583044,,,0.416556329514708,0,False
BHS,"Bahamas, The",2023,0.1818181818181817,127.0,,,130.0,117.0,,,,,128.0,130.0,117.0,38231.774484278,3.05291578969743,,,0.410399245643789,1,False
BHS,"Bahamas, The",2024,0.1533333333333333,128.0,,,146.0,106.0,,,,,,149.0,103.0,39455.4466548546,0.409162489083286,,,0.416407710575514,1,False
BHS,"Bahamas, The",2025,0.0077519379844961,129.0,,,128.0,130.0,128.0,,,,,130.0,,39455.4466548546,0.409162489083286,,,0.416407710575514,1,True
BIH,Bosnia and Herzegovina,2020,0.3928571428571429,86.0,,0.042,,,,55.0,95.0,99.0,87.0,,,6130.31187968266,-1.0512960076349,77.4588922946912,2024.0,9.54729598420506,0,False
BIH,Bosnia and Herzegovina,2021,0.2662337662337662,114.0,,0.02,,,,,113.0,116.0,69.0,,,7295.34378682258,1.98163900587622,77.4588922946912,2024.0,10.4675310843986,0,False
BIH,Bosnia and Herzegovina,2022,0.2137931034482758,115.0,,,113.0,112.0,,,,,65.0,113.0,109.0,7655.59421024383,14.0208440826771,77.4588922946912,2024.0,10.5208784489857,0,False
BIH,Bosnia and Herzegovina,2023,0.1883116883116883,126.0,,,109.0,119.0,,,,,144.0,123.0,119.0,8663.02326458629,6.1059011284828,77.4588922946912,2024.0,10.2332695977764,1,False
BIH,Bosnia and Herzegovina,2024,0.4666666666666667,81.0,,,105.0,66.0,,,,,,98.0,64.0,9358.78768951134,1.69212733599724,77.4588922946912,2024.0,10.5502824361912,1,False
BIH,Bosnia and Herzegovina,2025,0.2558139534883721,97.0,,,93.0,98.0,97.0,,,,,82.0,,9358.78768951134,1.69212733599724,77.4588922946912,2024.0,10.5502824361912,1,True
BLR,Belarus,2020,0.8714285714285714,19.0,,0.241,,,,25.0,44.0,42.0,12.0,,,6542.85579976768,5.54814357456511,,,1.65173922227239,0,False
BLR,Belarus,2021,0.7922077922077921,33.0,,0.08,,,,,40.0,36.0,52.0,,,7489.71894713888,9.46028389623106,,,1.65049350927473,0,False
BLR,Belarus,2022,0.8344827586206897,25.0,,,31.0,43.0,,,,,29.0,31.0,57.0,7994.64806074889,15.209675274081,,,2.01552933186967,0,False
BLR,Belarus,2023,0.7207792207792207,44.0,,,40.0,41.0,,,,,61.0,36.0,41.0,7896.75388295584,5.00059903091313,,,1.73928584531142,1,False
BLR,Belarus,2024,0.7533333333333333,38.0,,,43.0,39.0,,,,,,34.0,40.0,8317.63399913792,5.78531910427999,,,1.81319105202764,1,False
BLR,Belarus,2025,0.627906976744186,49.0,,,48.0,64.0,52.0,,,,,41.0,,8317.63399913792,5.78531910427999,,,1.81319105202764,1,True
BLZ,Belize,2020,0.0214285714285714,138.0,,0.002,,,,117.0,147.0,145.0,130.0,,,5238.54078175696,0.121434644614894,67.9682001512007,2024.0,5.89481400963481,0,False
BLZ,Belize,2021,0.1103896103896103,138.0,,0.01,,,,,148.0,140.0,58.0,,,6142.98930557031,3.23563659237071,67.9682001512007,2024.0,5.57356290247454,0,False
