month,post_nov_2022,eth_mean_fee_usd,eth_mean_value_usdc,eth_tx_count,trx_mean_fee_trx,trx_mean_value_usdt,trx_tx_count,legacy_fee_pct_baseline,legacy_implied_fee_usd,cost_savings_usd_eth
2020-01,0,0.08130359852428286,19155.262157203,2000,0.0439275,10291.87833215,20,0.062,1187.626253746586,1187.5449501480616
2020-02,0,0.1036769595183331,15540.955158880999,2000,0.105382,14817.41893425,20,0.062,963.539219850622,963.4355428911036
2020-03,0,0.1976079780718179,29601.378386291002,2000,0.0664385,14010.4553112,20,0.062,1835.2854599500422,1835.0878519719704
2020-04,0,0.11987384900280164,8075.491614016,2000,0.05658150000000001,2324.6810359,20,0.062,500.68048006899204,500.5606062199892
2020-05,0,0.27967130619394753,10381.542287823999,2000,0.0756155,24965.55831995,20,0.062,643.6556218450879,643.375950538894
2020-06,0,0.8484451296334016,6738.069867055,2000,0.070825,24918.51697535,20,0.062,417.76033175741,416.9118866277766
2020-07,0,1.546775807542779,17742.322015932,2000,0.14026149999999998,4713.16601325,20,0.062,1100.023964987784,1098.477189180241
2020-08,0,2.68157618196658,12877.891637375998,2000,0.137388,2290.2758455499998,20,0.062,798.4292815173119,795.7477053353454
2020-09,0,6.0023010508077705,14131.031529397253,1893,0.2575525,6774.7001485,20,0.062,876.1239548226297,870.1216537718219
2020-10,0,2.5111561279591212,96969.81933799491,1964,0.6124065,672.92120685,20,0.062,6012.128798955684,6009.617642827725
2020-11,0,0.7870550116204184,9021.520930676,2000,0.2319785,4522.33443415,20,0.062,559.3342977019121,558.5472426902917
2020-12,0,1.9078491654410723,5033.905898765648,1997,1.440518,648.57826625,20,0.062,312.1021657234702,310.19431655802913
2021-01,0,3.867130401220147,25637.365042828005,1971,0.50135,16255.3328555,20,0.062,1589.5166326553363,1585.6495022541162
2021-02,0,7.423213585303042,44642.30009464915,1770,2.8028380000000004,576.7755548499999,20,0.062,2767.8226058682476,2760.3993922829445
2021-03,0,6.47361606017966,86911.96825776363,1815,2.761178,11964.6388829,20,0.062,5388.542031981345,5382.068415921165
2021-04,0,11.55771269252909,185336.15949178548,1748,2.89366,4880.2259959,20,0.062,11490.8418884907,11479.284175798171
2021-05,0,6.947401756124537,92805.44417772816,1946,2.570771,8133.78000715,20,0.062,5753.937539019146,5746.990137263022
2021-06,0,6.581135512833749,278825.78021051676,1910,4.083128,1142.42129635,20,0.062,17287.19837305204,17280.617237539205
2021-07,0,4.261223651396755,155542.67922498187,1985,2.549092,1748.0007607,20,0.062,9643.646111948876,9639.38488829748
2021-08,0,6.241813156369625,89992.94709584014,1908,2.8861470000000002,13987.429735100002,20,0.062,5579.562719942089,5573.320906785719
2021-09,0,11.026704913667812,220701.75714370204,1470,2.0824290000000003,2799.4116658499997,20,0.062,13683.508942909526,13672.482237995859
2021-10,0,9.669535975527639,59962.7023154727,1502,2.936845,7671.9028223000005,20,0.062,3717.6875435593074,3708.0180075837798
2021-11,0,10.432005099599994,79162.44928319758,1402,5.653176,306.33002500000003,20,0.062,4908.07185555825,4897.63985045865
2021-12,0,8.038994114400397,282887.90289722674,1279,6.581562,23012.534704600002,20,0.062,17539.049979628056,17531.010985513654
2022-01,0,8.047355043797074,443725.8079391949,1719,6.023668,947.9069994000001,20,0.062,27511.000092230082,27502.952737186286
2022-02,0,10.016786335638844,186615.00603429438,1583,4.358802,224.13452940000002,20,0.062,11570.13037412625,11560.113587790613
