country,country_iso3,rank,overall_score,onchain_value_received_rank,onchain_retail_value_received_rank,p2p_exchange_trade_volume_rank,rank_note
Turkmenistan,TKM,140,0.0,132,107,156,
Qatar,QAT,141,0.0,139,136,120,
Luxembourg,LUX,142,0.0,137,137,140,
Bahrain,BHR,143,0.0,138,140,127,
Maldives,MDV,144,0.0,146,146,88,
Suriname,SUR,145,0.0,142,142,107,
Fiji,FJI,146,0.0,153,150,65,
Iceland,ISL,147,0.0,144,144,145,
Cabo Verde,CPV,149,0.0,145,147,136,
Gabon,GAB,150,0.0,149,149,116,
Papua New Guinea,PNG,151,0.0,150,151,82,
Guyana,GUY,153,0.0,156,155,108,
Brunei Darussalam,BRN,155,0.0,157,154,137,
