id,name,symbol,peg_type,peg_mechanism
354,apxUSD,apxUSD,peggedUSD,crypto-backed
251,Felix feUSD,FEUSD,peggedUSD,crypto-backed
168,fxUSD,fxUSD,peggedUSD,crypto-backed
215,Moneta,USDM,peggedUSD,fiat-backed
24,Celo Dollar,CUSD,peggedUSD,algorithmic
20,Alchemix USD,ALUSD,peggedUSD,algorithmic
331,USP,USP,peggedUSD,crypto-backed
312,Hydrated Dollar,HOLLAR,peggedUSD,crypto-backed
13,YUSD Stablecoin,YUSD,peggedUSD,crypto-backed
234,Worldwide USD,WUSD,peggedUSD,fiat-backed
75,Youves uUSD,UUSD,peggedUSD,crypto-backed
115,R,R,peggedUSD,crypto-backed
85,Real USD,USDR,peggedUSD,algorithmic
327,Mu Digital AZND,AZND,peggedUSD,crypto-backed
242,Hermetica USDh,USDH,peggedUSD,fiat-backed
244,Lift Dollar,USDL,peggedUSD,fiat-backed
324,Stable Coin,SBC,peggedUSD,fiat-backed
245,Anzens USDA,USDA,peggedUSD,fiat-backed
44,dForce USD,USX,peggedUSD,crypto-backed
46,USD+,USD+,peggedUSD,crypto-backed
103,NXUSD,NXUSD,peggedUSD,crypto-backed
183,Bitcoin USD,BtcUSD,peggedUSD,crypto-backed
178,Web 3 Dollar,USD3,peggedUSD,crypto-backed
253,USBD,USBD,peggedUSD,crypto-backed
23,Origin Dollar,OUSD,peggedUSD,crypto-backed
266,Plume USD,pUSD,peggedUSD,crypto-backed
216,Solayer USD,sUSD,peggedUSD,fiat-backed
60,HomeCoin,HOME,peggedUSD,crypto-backed
268,YU,YU,peggedUSD,crypto-backed
304,USDU Finance,USDU,peggedUSD,crypto-backed
240,StablR USD,USDR,peggedUSD,fiat-backed
89,XAI,XAI,peggedUSD,crypto-backed
30,Dollar on Chain,DOC,peggedUSD,crypto-backed
16,Parrot USD,PAI,peggedUSD,crypto-backed
328,Mustang Finance,MUST,peggedUSD,crypto-backed
42,USDX,USDX,peggedUSD,crypto-backed
349,Pareto USP,USP,peggedUSD,crypto-backed
9,Fei USD,FEI,peggedUSD,algorithmic
93,Djed StableCoin,DJED,peggedUSD,algorithmic
291,Parallel USDp,USDp,peggedUSD,crypto-backed
26,mStable USD,MUSD,peggedUSD,crypto-backed
204,Balanced Dollars,BNUSD,peggedUSD,crypto-backed
261,Solomon USDv,USDV,peggedUSD,crypto-backed
70,DigitalDollar,DUSD,peggedUSD,fiat-backed
18,Nexus USD,NUSD,peggedUSD,crypto-backed
33,USDP Stablecoin,USDP,peggedUSD,crypto-backed
152,Liquid Loans USDL,USDL,peggedUSD,crypto-backed
28,Vai,VAI,peggedUSD,crypto-backed
88,iUSD,IUSD,peggedUSD,crypto-backed
236,Synnax Stablecoin,syUSD,peggedUSD,crypto-backed
224,dTRINITY USD,dUSD,peggedUSD,crypto-backed
188,Orby USC,USC,peggedUSD,crypto-backed
162,XUSD,XUSD,peggedUSD,crypto-backed
160,Sovryn Dollar,DLLR,peggedUSD,crypto-backed
155,Glo Dollar,USDGLO,peggedUSD,fiat-backed
295,Asymmetry USDaf V2,USDaf,peggedUSD,crypto-backed
192,USDA,USDA,peggedUSD,crypto-backed
83,USDW,USDW,peggedUSD,crypto-backed
277,SMARDEX USDN,USDN,peggedUSD,crypto-backed
54,USN,USN,peggedUSD,algorithmic
132,USDM,USDM,peggedUSD,fiat-backed
285,Good Game US Dollar,GGUSD,peggedUSD,crypto-backed
322,Last USD,USDXL,peggedUSD,crypto-backed
159,RIF US Dollar,USDRIF,peggedUSD,crypto-backed
287,Nerite USND,USND,peggedUSD,crypto-backed
176,Fathom Dollar,FXD,peggedUSD,crypto-backed
65,USDH,USDH,peggedUSD,crypto-backed
78,Note,NOTE,peggedUSD,crypto-backed
151,zkUSD Dollar,zkUSD,peggedUSD,crypto-backed
232,Pinto,PINTO,peggedUSD,crypto-backed
308,Saga Dollar,D,peggedUSD,crypto-backed
238,Rings scUSD,SCUSD,peggedUSD,crypto-backed
92,Meme Dollar,PINA,peggedUSD,algorithmic
107,Czodiac USD,CZUSD,peggedUSD,crypto-backed
350,Citrea USD,ctUSD,peggedUSD,fiat-backed
278,WEUSD,WEUSD,peggedUSD,crypto-backed
81,USK,USK,peggedUSD,crypto-backed
293,Sigma Money bnbUSD,BNBUSD,peggedUSD,crypto-backed
32,Sperax USD,USDS,peggedUSD,crypto-backed
43,ZUSD,ZUSD,peggedUSD,fiat-backed
100,Digital Standard Unit,DSU,peggedUSD,crypto-backed
229,Level USD,LVLUSD,peggedUSD,crypto-backed
175,PXDC Stablecoin,PXDC,peggedUSD,crypto-backed
171,Lets Get HAI,HAI,peggedUSD,crypto-backed
125,eUSD (V2),eUSD(v2),peggedUSD,crypto-backed
211,Threshold USD,THUSD,peggedUSD,crypto-backed
198,Stable Jack aUSD,aUSD,peggedUSD,crypto-backed
135,Inter Stable Token,IST,peggedUSD,crypto-backed
27,USDK,USDK,peggedUSD,fiat-backed
143,Verified USD,USDV,peggedUSD,fiat-backed
58,3USD,3USD,peggedUSD,crypto-backed
72,Kolibri USD,KUSD,peggedUSD,crypto-backed
333,mantraUSD,mantraUSD,peggedUSD,crypto-backed
180,Bread,BREAD,peggedUSD,crypto-backed
116,GRAI,GRAI,peggedUSD,crypto-backed
174,rUSD,rUSD,peggedUSD,crypto-backed
227,Legacy BOLD,BOLD,peggedUSD,crypto-backed
217,Reservoir Stablecoin,rUSD,peggedUSD,fiat-backed
206,Opus CASH,CASH,peggedUSD,crypto-backed
201,HEX Dollar Coin,HEXDC,peggedUSD,crypto-backed
288,EBUSD,EBUSD,peggedUSD,crypto-backed
64,UXD Stablecoin,UXD,peggedUSD,algorithmic
181,Zunami USD,zunUSD,peggedUSD,crypto-backed
29,TOR,TOR,peggedUSD,crypto-backed
71,Vesta Stable,VST,peggedUSD,crypto-backed
126,mkUSD,mkUSD,peggedUSD,crypto-backed
112,USDT+,USDT+,peggedUSD,crypto-backed
48,BAI Stablecoin,BAI,peggedUSD,crypto-backed
73,USDtez,USDTZ,peggedUSD,fiat-backed
164,USDCB,USDCB,peggedUSD,fiat-backed
59,SigmaUSD,SIGUSD,peggedUSD,algorithmic
25,Reserve,RSV,peggedUSD,crypto-backed
38,STBL,STBL,peggedUSD,crypto-backed
248,USDFC,USDFC,peggedUSD,crypto-backed
318,litUSD,litUSD,peggedUSD,fiat-backed
191,bitSmiley USD,bitUSD,peggedUSD,crypto-backed
68,USDLemma,USDL,peggedUSD,algorithmic
130,Savvy USD,SVUSD,peggedUSD,fiat-backed
311,iAUSD,IAUSD,peggedUSD,crypto-backed
45,aUSD Seed,aSEED,peggedUSD,crypto-backed
34,USD Balance,USDB,peggedUSD,algorithmic
228,Quill USD,USDQ,peggedUSD,crypto-backed
104,Davos Protocol,DUSD,peggedUSD,crypto-backed
144,High Yield USD,HYUSD,peggedUSD,algorithmic
337,USE,USE,peggedUSD,algorithmic
124,peg-eUSD,peUSD,peggedUSD,crypto-backed
260,VDollar Finance,VUSD,peggedUSD,crypto-backed
109,eUSD,EUSD,peggedUSD,crypto-backed
233,TheStandard USD,USDS,peggedUSD,crypto-backed
149,Sable Coin,USDS,peggedUSD,crypto-backed
123,STAR,STAR,peggedUSD,crypto-backed
142,HYDT,HYDT,peggedUSD,algorithmic
37,USDJ,USDJ,peggedUSD,crypto-backed
314,Palm USD,PUSD,peggedUSD,fiat-backed
184,Magma Wen,WEN,peggedUSD,crypto-backed
82,arUSD,ARUSD,peggedUSD,crypto-backed
99,Stabl.fi Cash,CASH,peggedUSD,crypto-backed
148,Mynth MyUSD,MyUSD,peggedUSD,algorithmic
345,Uncap USD,USDU,peggedUSD,crypto-backed
294,Autonomint,USDA+,peggedUSD,crypto-backed
243,Coinshift,csUSDL,peggedUSD,crypto-backed
117,Ethos Reserve Note,ERN,peggedUSD,crypto-backed
330,Gaming XP USD,xpUSD,peggedUSD,fiat-backed
264,XBANKING USDE,USDE,peggedUSD,crypto-backed
